"","SRP.Date","SRP.Flow","SRP.concentrations.SRP","lnC","lnQ","Flow"
"133",2013-04-03,2220,0.0115,-4.46540824361293,7.70526247486633,2220
"134",2013-04-11,1250,0.008,-4.8283137373023,7.13089883029635,1250
"135",2013-04-18,1730,0.024,-3.72970144863419,7.45587668749182,1730
"137",2013-04-27,2470,0.013,-4.3428059215206,7.81197342962202,2470
"138",2013-05-10,2620,0.011,-4.50986000618377,7.87092959675514,2620
"139",2013-05-21,4740,0.013,-4.3428059215206,8.46379241468912,4740
"140",2013-05-21,4740,0.032,-3.44201937618241,8.46379241468912,4740
"145",2013-07-31,19,0.005,-5.29831736654804,2.94443897916644,19
"147",2013-08-08,384,0.005,-5.29831736654804,5.95064255258773,384
"148",2013-08-13,1690,0.009,-4.71053070164592,7.43248380791712,1690
"152",2013-09-18,0.04,0.005,-5.29831736654804,-3.2188758248682,0.04
"153",2013-09-20,156,0.036,-3.32423634052603,5.04985600724954,156
"155",2013-10-05,367,0.03,-3.50655789731998,5.90536184805457,367
"159",2013-11-22,410,0.006,-5.11599580975408,6.01615715969835,410
"161",2013-12-18,629,0.009,-4.71053070164592,6.44413125670044,629
"162",2013-12-21,5300,0.05,-2.99573227355399,8.57546209954021,5300
"164",2014-01-10,1050,0.015,-4.19970507787993,6.95654544315157,1050
"171",2014-03-07,630,0.004,-5.52146091786225,6.44571981938558,630
"173",2014-03-16,9150,0.038,-3.27016911925575,9.12150915826957,9150
"176",2014-04-04,3180,0.013,-4.3428059215206,8.06463647577422,3180
"177",2014-04-07,3820,0.029,-3.54045944899566,8.24800570160062,3820
"181",2014-05-09,644,0.004,-5.52146091786225,6.46769872610435,644
"182",2014-05-13,1740,0.005,-5.29831736654804,7.46164039220858,1740
"185",2014-06-10,296,0.005,-5.29831736654804,5.69035945432406,296
"194",2014-09-02,274,0.008,-4.8283137373023,5.61312810638807,274
"196",2014-09-18,192,0.008,-4.8283137373023,5.25749537202778,192
"199",2014-10-03,65,0.004,-5.52146091786225,4.17438726989564,65
"201",2014-10-10,909,0.036,-3.32423634052603,6.81234509417748,909
"202",2014-10-13,5050,0.044,-3.12356564506388,8.52714352226941,5050
"205",2014-11-04,292,0.009,-4.71053070164592,5.67675380226828,292
"210",2014-12-17,551,0.007,-4.96184512992682,6.31173480915291,551
"1",2015-01-04,1720,0.018,-4.01738352108597,7.4500795698075,1720
"91",2015-03-10,2080,0.011,-4.50986000618377,7.64012317269536,2080
"102",2015-03-14,6960,0.024,-3.72970144863419,8.84793475332846,6960
"11",2015-03-19,1410,0.004,-5.52146091786225,7.25134498337221,1410
"131",2015-04-01,699,0.005,-5.29831736654804,6.54965074223381,699
"17",2015-05-08,857,0.02,-3.91202300542815,6.75343791859778,857
"191",2015-06-19,13000,0.031,-3.47376807449699,9.47270463644367,13000
"NA",NA,NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA,NA
