"","X.5.30.","NO3test5to30modes","NO3test5to30stdevs","X.5.30..1","TNtest5to30modes","TNtest5to30stdevs","X.5.30..2","SRPtest5to30modes","SRPtest5to30stdevs","X.5.30..3","TPtest5to30modes","TPtest5to30stdevs","X.5.30..4","TSStest5to30modes","TSStest5to30stdevs","X.5.30..5","Cltest5to30modes","Cltest5to30stdevs","X.5.30..6","SO4test5to30modes","SO4test5to30stdevs"
"folds.20",20,0.9,0.0930437685024788,20,0.9,0.109619006247148,20,0.55,0.10490034143249,20,0.6,0.0723934826246853,20,0.6,0.0903281997687842,20,0.75,0.111304876399033,20,0.6,0.0780894306783797
"folds.21",21,0.9,0.0681834260787527,21,0.75,0.1040211909337,21,0.6,0.112322422207733,21,0.6,0.0842069850222095,21,0.55,0.106215030259663,21,0.6,0.117438650940369,21,0.65,0.0929998902786274
"folds.22",22,0.9,0.110213151554205,22,0.8,0.124129622835591,22,0.65,0.107423442126788,22,0.6,0.0745667759906022,22,0.6,0.078141681892442,22,0.75,0.1,22,0.65,0.0952386904743304
"folds.23",23,0.9,0.0847324721504967,23,0.9,0.121537766029447,23,0.6,0.109749250380965,23,0.6,0.0667694785460102,23,0.6,0.0695172860605511,23,0.7,0.102225241501304,23,0.75,0.0863311138842179
"folds.24",24,0.9,0.081597568991399,24,0.9,0.105583896422103,24,0.6,0.110730413571863,24,0.55,0.081447366252002,24,0.55,0.0632132768281074,24,0.75,0.10946996606096,24,0.65,0.0909361740733688
"folds.25",25,0.9,0.0782460796435952,25,0.7,0.103020703288817,25,0.65,0.0982707629823991,25,0.6,0.0792116771437038,25,0.6,0.0712569366476567,25,0.55,0.0981252843489965,25,0.8,0.0972111104761179
"folds.26",26,0.9,0.0715997947779524,26,0.9,0.102519286388624,26,0.6,0.114111474319757,26,0.6,0.0742032509326889,26,0.6,0.0732691432114418,26,0.75,0.0989537100602796,26,0.8,0.0990567761334841
"folds.27",27,0.9,0.0840553753334609,27,0.7,0.101644639076841,27,0.5,0.0876274581884664,27,0.6,0.0777555037752758,27,0.55,0.0715997947779524,27,0.55,0.113281300580566,27,0.75,0.0944154950963332
"folds.28",28,0.9,0.0736511357408585,28,0.9,0.103628063333269,28,0.6,0.113371342165866,28,0.55,0.06484675813652,28,0.6,0.0569998209807429,28,0.75,0.115281377153326,28,0.75,0.0862424205483636
"folds.29",29,0.9,0.0729900748075255,29,0.75,0.0920514496776401,29,0.5,0.0905989142611882,29,0.55,0.0638956419579965,29,0.6,0.0750238057457193,29,0.75,0.101498969533323,29,0.7,0.0943560343830207
