"","Date","concentrations.TP","Flow"
"268",2014-12-10,0.032,290
"269",2014-12-17,0.056,551
"270",2015-01-04,0.092,1720
"271",2015-01-07,0.028,687
"272",2015-01-14,0.027,276
"273",2015-01-21,0.022,146
"274",2015-01-28,0.016,85
"275",2015-02-04,0.01,128
"276",2015-02-11,0.014,87
"277",2015-02-25,0.041,298
"278",2015-03-05,0.1,1910
"279",2015-03-10,0.088,2080
"280",2015-03-14,0.314,6960
"281",2015-03-19,0.042,1410
"282",2015-03-26,0.274,3560
"283",2015-04-01,0.048,699
"284",2015-04-13,0.06,385
"285",2015-04-22,0.053,578
"286",2015-04-24,0.198,583
"287",2015-04-29,0.03,274
"288",2015-05-08,1.08,857
"289",2015-05-11,0.564,13300
"290",2015-06-19,0.426,13000
