"","NO3test5to30stats.X.5.30.","NO3test5to30stats.NO3test5to30modes","NO3test5to30stats.NO3test5to30stdevs","TNtest5to30stats.X.5.30.","TNtest5to30stats.TNtest5to30modes","TNtest5to30stats.TNtest5to30stdevs","SRPtest5to30stats.X.5.30.","SRPtest5to30stats.SRPtest5to30modes","SRPtest5to30stats.SRPtest5to30stdevs","TPtest5to30stats.X.5.30.","TPtest5to30stats.TPtest5to30modes","TPtest5to30stats.TPtest5to30stdevs","TSStest5to30stats.X.5.30.","TSStest5to30stats.TSStest5to30modes","TSStest5to30stats.TSStest5to30stdevs","Cltest5to30stats.X.5.30.","Cltest5to30stats.Cltest5to30modes","Cltest5to30stats.Cltest5to30stdevs","SO4test5to30stats.X.5.30.","SO4test5to30stats.SO4test5to30modes","SO4test5to30stats.SO4test5to30stdevs"
"11",15,0.9,0.0869024787697482,15,0.85,0.116338703265728,15,0.65,0.119219399873185,15,0.55,0.0854519795927896,15,0.6,0.067005939426049,15,0.5,0.104045712088878,15,0.75,0.108745161750221
"12",16,0.85,0.09596449173246,16,0.9,0.100508909139074,16,0.6,0.121558753745853,16,0.65,0.0809446775046175,16,0.6,0.078512965262342,16,0.75,0.0992625872345155,16,0.75,0.0846903121944407
"13",17,0.9,0.104978131833565,17,0.65,0.0984626729232133,17,0.6,0.126571751047638,17,0.55,0.0796996914443621,17,0.6,0.0840068024456523,17,0.75,0.106373427708469,17,0.75,0.0859283042389861
"14",18,0.9,0.088230912256142,18,0.85,0.107897343501561,18,0.6,0.110513643076873,18,0.6,0.0833238089795296,18,0.55,0.0730180296437888,18,0.55,0.110545954983732,18,0.75,0.0910483163950182
"15",19,0.9,0.112254266770414,19,0.75,0.111465195446464,19,0.6,0.103981945057588,19,0.6,0.0668839994898264,19,0.55,0.0807427257101347,19,0.55,0.115921331522895,19,0.75,0.0869024787697482
"16",20,0.9,0.0833238089795296,20,0.85,0.10242468611878,20,0.6,0.111190221270229,20,0.55,0.0698467710676122,20,0.6,0.103785493068292,20,0.7,0.106502850397805,20,0.6,0.0940907074290006
"17",21,0.9,0.11123151073141,21,0.7,0.109246024538887,21,0.6,0.0959857557459566,21,0.55,0.0728711471134677,21,0.55,0.0852607046364387,21,0.6,0.104534927275089,21,0.75,0.083231911070263
"18",22,0.9,0.0684299134971285,22,0.75,0.106756446060696,22,0.5,0.100635734311467,22,0.6,0.0585191404236116,22,0.6,0.0840371637905468,22,0.55,0.0957302758498361,22,0.75,0.0975412000863518
"19",23,0.85,0.102225241501304,23,0.75,0.127375389286621,23,0.5,0.111574995370095,23,0.55,0.0665551788874066,23,0.55,0.0814411017927956,23,0.5,0.10692358514951,23,0.6,0.0808122035641768
"20",24,0.85,0.0793853942254275,24,0.75,0.104006475465595,24,0.6,0.109493266962878,24,0.6,0.0609533110048091,24,0.6,0.0903564370384629,24,0.75,0.106445348629698,24,0.75,0.0964946863293307
"21",25,0.9,0.0840553753334609,25,0.9,0.100285307284481,25,0.7,0.119629530174602,25,0.6,0.0595990001285804,25,0.6,0.0842069850222095,25,0.75,0.103218610883179,25,0.6,0.0841281820819169
"22",26,0.9,0.0953457724628135,26,0.9,0.111318627078732,26,0.6,0.124789618877501,26,0.55,0.0517943342579523,26,0.6,0.0562791874388349,26,0.75,0.105191758814315,26,0.75,0.08315218406203
"23",27,0.9,0.0989743318610787,27,0.7,0.0989949493661167,27,0.6,0.093328474120349,27,0.55,0.0685193254431454,27,0.55,0.0920070982177407,27,0.5,0.112526640836556,27,0.75,0.0873884128124407
"24",28,0.9,0.0719693812446286,28,0.9,0.0954260050980842,28,0.65,0.10738543966973,28,0.65,0.0713141941391353,28,0.6,0.0712927279687381,28,0.55,0.10032599923474,28,0.75,0.0821956352185418
"25",29,0.9,0.0914732033918979,29,0.7,0.108932669712131,29,0.6,0.0965950943107255,29,0.6,0.0638956419579965,29,0.55,0.0763250299972534,29,0.7,0.102240213343331,29,0.6,0.0823196854479224
"26",30,0.9,0.0718629648308899,30,0.9,0.0820713974884934,30,0.6,0.108871765047187,30,0.6,0.0563244971534752,30,0.6,0.0714285714285714,30,0.75,0.0977502022546057,30,0.7,0.0795394908975717
