"","NO3.Date","NO3.Flow","NO3.concentrations.NO3","lnC","lnQ","Flow"
"94",2011-03-04,685,0.672,-0.397496938458987,6.52941883826223,685
"96",2011-03-29,400,0.387,-0.949330585952355,5.99146454710798,400
"97",2011-04-06,580,0.278,-1.2801341652915,6.36302810354046,580
"99",2011-04-22,1130,0.423,-0.860383099935859,7.02997291170639,1130
"103",2011-05-12,708,0.548,-0.601479992034121,6.56244409369372,708
"104",2011-05-19,579,0.384,-0.95711272639441,6.361302477573,579
"106",2011-06-08,197,0.116,-2.15416508787577,5.28320372873799,197
"107",2011-06-15,92,0.232,-1.46101790731583,4.52178857704904,92
"108",2011-07-15,4.7,0.08,-2.52572864430826,1.54756250871601,4.7
"109",2011-07-21,1.3,0.014,-4.26869794936688,0.262364264467491,1.3
"110",2011-07-29,1.3,0.01,-4.60517018598809,0.262364264467491,1.3
"111",2011-08-03,0.36,0.01,-4.60517018598809,-1.02165124753198,0.36
"113",2011-08-18,13,1.4,0.336472236621213,2.56494935746154,13
"114",2011-09-01,1.9,0.23,-1.46967597005894,0.641853886172395,1.9
"115",2011-09-08,0.87,0.118,-2.13707065451647,-0.139262067333508,0.87
"116",2011-09-16,0.82,0.212,-1.55116900431012,-0.198450938723838,0.82
"118",2011-09-30,3.3,0.361,-1.01887732064926,1.19392246847243,3.3
"119",2011-10-06,2.9,0.22,-1.51412773262978,1.06471073699243,2.9
"121",2011-10-26,3.9,0.319,-1.14256417619729,1.3609765531356,3.9
"124",2011-11-17,215,2.221,0.79795754491229,5.37063802812766,215
"125",2011-12-01,377,1.352,0.301584977620772,5.93224518744801,377
"126",2011-12-08,693,1.292,0.25619140536041,6.5410299991899,693
"128",2012-01-05,177,0.905,-0.0998203352822109,5.17614973257383,177
"130",2012-01-19,234,0.65,-0.430782916092454,5.4553211153577,234
"132",2012-02-02,582,0.9225,-0.0806679030674548,6.36647044773144,582
"135",2012-03-01,266,0.546,-0.605136303237232,5.5834963087817,266
"138",2012-03-29,792,0.623,-0.473208760194684,6.67456139181443,792
"139",2012-04-12,189,0.296,-1.21739582465808,5.24174701505964,189
"140",2012-04-15,187,0.226,-1.48722027970985,5.23110861685459,187
"141",2012-04-26,64,0.219,-1.51868354916564,4.15888308335967,64
"143",2012-05-10,21,0.152,-1.88387475813586,3.04452243772342,21
"144",2012-05-16,10,0.093,-2.37515578582888,2.30258509299405,10
"145",2012-05-24,5.7,0.073,-2.61729583783375,1.7404661748405,5.7
"148",2012-06-14,2.4,0.102,-2.28278246569787,0.8754687373539,2.4
"149",2012-06-21,1.2,0.108,-2.22562405185792,0.182321556793955,1.2
"150",2012-06-28,0.36,0.048,-3.03655426807425,-1.02165124753198,0.36
"151",2012-07-12,1.4,0.125,-2.07944154167984,0.336472236621213,1.4
"152",2012-08-02,0.74,0.005,-5.29831736654804,-0.301105092783922,0.74
"154",2012-08-20,1.2,0.221,-1.50959257746438,0.182321556793955,1.2
"155",2012-08-29,2.1,0.489,-0.715392789507265,0.741937344729377,2.1
"156",2012-09-05,0.14,0.152,-1.88387475813586,-1.96611285637283,0.14
"157",2012-09-11,0.63,0.576,-0.551647618286246,-0.462035459596559,0.63
"160",2012-10-09,1.6,0.114,-2.17155683058764,0.470003629245736,1.6
"161",2012-10-15,15,0.516,-0.661648513500574,2.70805020110221,15
"162",2012-10-24,21,0.235,-1.44816976483798,3.04452243772342,21
"163",2012-10-31,9.4,0.242,-1.41881755282545,2.24070968927596,9.4
"164",2012-11-07,6.7,0.2,-1.6094379124341,1.90210752639692,6.7
"165",2012-11-14,7.6,0.131,-2.03255795578099,2.02814824729229,7.6
"166",2012-11-28,7.1,0.131,-2.03255795578099,1.96009478404727,7.1
"167",2012-12-05,17,0.252,-1.37832619147071,2.83321334405622,17
"168",2012-12-12,7.4,0.187,-1.67664666212755,2.00148000021012,7.4
"170",2013-01-10,45,0.219,-1.51868354916564,3.80666248977032,45
"172",2013-01-23,67,0.731,-0.313341819232359,4.20469261939097,67
"174",2013-02-06,275,1.435,0.361164849211584,5.61677109766657,275
"176",2013-02-20,350,0.892,-0.114289146402128,5.85793315448346,350
"178",2013-03-06,296,0.927,-0.0758017134162818,5.69035945432406,296
"180",2013-03-19,414,0.885,-0.122167633974208,6.02586597382531,414
"185",2013-04-24,610,0.47,-0.755022584278033,6.41345895716736,610
"190",2013-05-30,546,0.492,-0.709276562489829,6.30261897574491,546
"191",2013-06-06,762,0.3605,-1.02026332225713,6.63594655568665,762
"192",2013-06-12,222,0.256,-1.36257783450257,5.40267738187228,222
"193",2013-06-25,34,0.147,-1.9173226922034,3.52636052461616,34
"194",2013-07-08,5.2,0.112,-2.18925640768704,1.64865862558738,5.2
"195",2013-07-19,4.7,0.102,-2.28278246569787,1.54756250871601,4.7
"197",2013-08-07,14,0.26,-1.34707364796661,2.63905732961526,14
"200",2013-08-20,141,0.521,-0.65200523722877,4.94875989037817,141
"201",2013-08-28,8.7,0.274,-1.29462717259407,2.16332302566054,8.7
"202",2013-09-04,2.2,0.199,-1.61445045425764,0.78845736036427,2.2
"203",2013-09-11,0.01,0.141,-1.95899538860397,-4.60517018598809,0.01
"206",2013-10-02,0.61,0.321,-1.13631415585212,-0.49429632181478,0.61
"208",2013-10-24,54,0.275,-1.29098418131557,3.98898404656427,54
"209",2013-10-30,38,0.359,-1.02443289049386,3.63758615972639,38
"211",2013-11-13,170,0.31,-1.17118298150295,5.13579843705026,170
"213",2013-12-02,87,0.503,-0.687165108882398,4.46590811865458,87
"214",2013-12-12,99,0.439,-0.823255865906966,4.59511985013459,99
"217",2014-01-09,374,0.891,-0.115410851511328,5.92425579741453,374
"219",2014-01-22,290,0.722,-0.325730140089311,5.66988092298052,290
"220",2014-01-28,162,0.737,-0.3051673867928,5.08759633523238,162
"221",2014-02-06,140,0.716,-0.334075112021491,4.9416424226093,140
"222",2014-02-12,108,0.739,-0.302457358033935,4.68213122712422,108
"223",2014-02-21,155,0.556,-0.586986984731555,5.04342511691925,155
"224",2014-02-25,129,0.458,-0.780886094867952,4.85981240436167,129
"226",2014-03-11,415,0.547,-0.603306476560156,6.0282785202307,415
"228",2014-03-27,489,0.701,-0.355247391947547,6.19236248947487,489
"229",2014-04-03,793,0.525,-0.644357016390513,6.67582322163485,793
"232",2014-04-14,1400,0.452,-0.794073099149906,7.24422751560335,1400
"233",2014-04-22,521,0.36,-1.02165124753198,6.25575004175337,521
"234",2014-04-28,442,0.312,-1.16475209117265,6.0913098820777,442
"237",2014-05-20,539,0.22,-1.51412773262978,6.289715570909,539
"238",2014-05-28,193,0.227,-1.48280526150073,5.26269018890489,193
"239",2014-06-02,193,0.199,-1.61445045425764,5.26269018890489,193
"241",2014-07-01,117,0.167,-1.78976146656538,4.76217393479776,117
"242",2014-07-09,32,0.128,-2.05572501506252,3.46573590279973,32
"243",2014-07-23,38,0.163,-1.81400507817537,3.63758615972639,38
"244",2014-07-29,12,0.123,-2.09557092360972,2.484906649788,12
"245",2014-08-05,15,0.143,-1.94491064872223,2.70805020110221,15
"246",2014-08-12,303,0.2375,-1.43758765550744,5.71373280550937,303
"247",2014-08-19,49,0.114,-2.17155683058764,3.89182029811063,49
"248",2014-08-27,13,0.172,-1.76026080216868,2.56494935746154,13
"250",2014-09-10,21,0.2525,-1.37634403026672,3.04452243772342,21
"253",2014-09-24,29,0.225,-1.49165487677772,3.36729582998647,29
"254",2014-10-01,20,0.165,-1.80180980508156,2.99573227355399,20
"256",2014-10-08,19,0.133,-2.01740615076038,2.94443897916644,19
"259",2014-10-22,255,0.482,-0.729811164931537,5.54126354515843,255
"260",2014-10-29,96,0.309,-1.17441400208439,4.56434819146784,96
"262",2014-11-12,176,0.231,-1.46533756846034,5.17048399503815,176
"263",2014-11-19,62,0.216,-1.53247687129797,4.12713438504509,62
"264",2014-12-05,181,0.219,-1.51868354916564,5.19849703126583,181
"265",2014-12-10,290,0.283,-1.2623083813389,5.66988092298052,290
"21",2015-01-07,687,0.539,-0.61803970807314,6.53233429222235,687
"3",2015-01-14,276,0.4315,-0.840487768458654,5.62040086571715,276
"42",2015-01-21,146,0.5,-0.693147180559945,4.98360662170834,146
"5",2015-01-28,85,0.446,-0.807436326962073,4.44265125649032,85
"61",2015-02-04,128,0.287,-1.24827306322252,4.85203026391962,128
"7",2015-02-11,87,0.288,-1.24479479884619,4.46590811865458,87
"8",2015-02-25,298,0.3765,-0.976837231742189,5.6970934865054,298
"122",2015-03-19,1410,0.543,-0.610645959048202,7.25134498337221,1410
"14",2015-04-01,699,0.421,-0.865122445299756,6.54965074223381,699
"15",2015-04-13,385,0.306,-1.18417017702976,5.95324333428778,385
"169",2015-04-22,578,0.213,-1.54646311327271,6.35957386867238,578
"18",2015-04-29,274,0.205,-1.58474529984373,5.61312810638807,274
