SITE,Date,TP
Springdale,2010-10-31,0.3
Springdale,2010-11-30,0.2
Springdale,2010-12-31,0.2
Springdale,2011-01-31,0.2
Springdale,2011-02-28,0.1
Springdale,2011-03-31,0.2
Springdale,2011-04-30,0.2
Springdale,2011-05-31,0.4
Springdale,2011-06-30,0.6
Springdale,2011-07-31,0.6
Springdale,2011-08-31,0.5
Springdale,2011-09-30,0.4
Springdale,2011-10-31,0.35
Springdale,2011-11-30,0.46
Springdale,2011-12-31,0.31
Springdale,2012-01-31,0.2
Springdale,2012-02-29,0.3
Springdale,2012-03-31,0.39
Springdale,2012-04-30,0.49
Springdale,2012-05-31,0.26
Springdale,2012-06-30,0.28
Springdale,2012-07-31,0.74
Springdale,2012-08-31,0.5
Springdale,2012-09-30,0.52
Springdale,2012-10-31,0.41
Springdale,2012-11-30,0.38
Springdale,2012-12-31,0.36
Springdale,2013-01-31,0.3
Springdale,2013-02-28,0.22
Springdale,2013-03-31,0.19
Springdale,2013-04-30,0.18
Springdale,2013-05-31,0.14
Springdale,2013-06-30,0.22
Springdale,2013-07-31,0.21
Springdale,2013-08-31,0.16
Springdale,2013-09-30,0.26
Springdale,2013-10-31,0.32
Springdale,2013-11-30,0.29
Springdale,2013-12-31,0.22
Springdale,2014-01-31,0.14
Springdale,2014-02-28,0.16
Springdale,2014-03-31,0.17
Springdale,2014-04-30,0.19
Springdale,2014-05-31,0.17
Springdale,2014-06-30,0.22
Springdale,2014-07-31,0.15
Springdale,2014-08-31,0.46
Springdale,2014-09-30,0.36
Springdale,2014-10-31,0.48
Springdale,2014-11-30,0.23
Springdale,2014-12-31,0.35
Springdale,2015-01-31,0.21
Springdale,2015-02-28,0.14
Springdale,2015-03-31,0.2
Springdale,2015-04-30,0.19
Springdale,2015-05-31,0.28
Springdale,2015-06-30,0.16
Springdale,2015-07-31,0.18
Springdale,2015-08-31,0.22
Springdale,2015-09-30,0.34
Springdale,2015-10-31,0.33
Springdale,2015-11-30,0.26
Springdale,2015-12-31,0.35
Springdale,2016-01-31,0.16
Springdale,2016-02-29,0.2
Rogers,1996-01-31,1.2
Rogers,1996-02-29,1.64
Rogers,1996-03-31,4.3
Rogers,1996-04-30,3.63
Rogers,1996-05-31,1.55
Rogers,1996-06-30,
Rogers,1996-07-31,3.22
Rogers,1996-08-31,2.07
Rogers,1996-09-30,4.22
Rogers,1996-10-31,3.23
Rogers,1996-11-30,3.65
Rogers,1996-12-31,3.89
Rogers,1997-01-31,4.72
Rogers,1997-02-28,3.17
Rogers,1997-03-31,3.44
Rogers,1997-04-30,3.75
Rogers,1997-05-31,6.41
Rogers,1997-06-30,3.16
Rogers,1997-07-31,3.06
Rogers,1997-08-31,3.71
Rogers,1997-09-30,2.81
Rogers,1997-10-31,1.11
Rogers,1997-11-30,1.68
Rogers,1997-12-31,1.51
Rogers,1998-01-31,1.99
Rogers,1998-02-28,1.05
Rogers,1998-03-31,1.6
Rogers,1998-04-30,1.75
Rogers,1998-05-31,2.26
Rogers,1998-06-30,1.66
Rogers,1998-07-31,0.79
Rogers,1998-08-31,0.8
Rogers,1998-09-30,0.46
Rogers,1998-10-31,0.42
Rogers,1998-11-30,0.38
Rogers,1998-12-31,2.92
Rogers,1999-01-31,2.33
Rogers,1999-02-28,2.04
Rogers,1999-03-31,2.93
Rogers,1999-04-30,2.52
Rogers,1999-05-31,1.88
Rogers,1999-06-30,2.34
Rogers,1999-07-31,2.15
Rogers,1999-08-31,1.84
Rogers,1999-09-30,2.86
Rogers,1999-10-31,2.98
Rogers,1999-11-30,3.35
Rogers,1999-12-31,3.74
Rogers,2000-01-31,2.79
Rogers,2000-02-29,2.36
Rogers,2000-03-31,1.87
Rogers,2000-04-30,2.28
Rogers,2000-05-31,1.99
Rogers,2000-06-30,1.51
Rogers,2000-07-31,0.87
Rogers,2000-08-31,0.99
Rogers,2000-09-30,0.31
Rogers,2000-10-31,0.43
Rogers,2000-11-30,0.62
Rogers,2000-12-31,0.27
Rogers,2001-01-31,0.22
Rogers,2001-02-28,0.38
Rogers,2001-03-31,1.31
Rogers,2001-04-30,1.32
Rogers,2001-05-31,1.6
Rogers,2001-06-30,1.83
Rogers,2001-07-31,0.9
Rogers,2001-08-31,0.81
Rogers,2001-09-30,0.75
Rogers,2001-10-31,0.28
Rogers,2001-11-30,0.24
Rogers,2001-12-31,2.06
Rogers,2002-01-31,0.32
Rogers,2002-02-28,0.69
Rogers,2002-03-31,0.57
Rogers,2002-04-30,0.57
Rogers,2002-05-31,1.12
Rogers,2002-06-30,0.24
Rogers,2002-07-31,0.33
Rogers,2002-08-31,0.45
Rogers,2002-09-30,0.47
Rogers,2002-10-31,0.23
Rogers,2002-11-30,0.17
Rogers,2002-12-31,0.26
Rogers,2003-01-31,0.31
Rogers,2003-02-28,0.23
Rogers,2003-03-31,0.38
Rogers,2003-04-30,0.96
Rogers,2003-05-31,0.23
Rogers,2003-06-30,0.2
Rogers,2003-07-31,0.42
Rogers,2003-08-31,0.25
Rogers,2003-09-30,0.32
Rogers,2003-10-31,0.22
Rogers,2003-11-30,0.63
Rogers,2003-12-31,0.57
Rogers,2004-01-31,0.3
Rogers,2004-02-29,0.42
Rogers,2004-03-31,0.38
Rogers,2004-04-30,0.33
Rogers,2004-05-31,0.32
Rogers,2004-06-30,0.36
Rogers,2004-07-31,0.75
Rogers,2004-08-31,0.58
Rogers,2004-09-30,0.43
Rogers,2004-10-31,0.42
Rogers,2004-11-30,0.44
Rogers,2004-12-31,0.34
Rogers,2005-01-31,0.46
Rogers,2005-02-28,0.38
Rogers,2005-03-31,0.45
Rogers,2005-04-30,0.44
Rogers,2005-05-31,0.92
Rogers,2005-06-30,1.02
Rogers,2005-07-31,0.74
Rogers,2005-08-31,2.18
Rogers,2005-09-30,0.62
Rogers,2005-10-31,1.15
Rogers,2005-11-30,0.38
Rogers,2005-12-31,0.26
Rogers,2006-01-31,0.41
Rogers,2006-02-28,0.23
Rogers,2006-03-31,0.44
Rogers,2006-04-30,0.31
Rogers,2006-05-31,0.62
Rogers,2006-06-30,1.16
Rogers,2006-07-31,0.83
Rogers,2006-08-31,0.89
Rogers,2006-09-30,0.68
Rogers,2006-10-31,0.88
Rogers,2006-11-30,0.75
Rogers,2006-12-31,1
Rogers,2007-01-31,1
Rogers,2007-02-28,1.09
Rogers,2007-03-31,1.25
Rogers,2007-04-30,0.61
Rogers,2007-05-31,0.33
Rogers,2007-06-30,0.57
Rogers,2007-07-31,0.62
Rogers,2007-08-31,0.52
Rogers,2007-09-30,0.74
Rogers,2007-10-31,0.38
Rogers,2007-11-30,0.43
Rogers,2007-12-31,0.3
Rogers,2008-01-31,0.25
Rogers,2008-02-29,0.44
Rogers,2008-03-31,0.6
Rogers,2008-04-30,1.08
Rogers,2008-05-31,1.74
Rogers,2008-06-30,1.13
Rogers,2008-07-31,0.277727273
Rogers,2008-08-31,0.369
Rogers,2008-09-30,0.488571429
Rogers,2008-10-31,0.694761905
Rogers,2008-11-30,0.971666667
Rogers,2008-12-31,0.833333333
Rogers,2009-01-31,0.399473684
Rogers,2009-02-28,0.452352941
Rogers,2009-03-31,0.208695652
Rogers,2009-04-30,0.262727273
Rogers,2009-05-31,0.135
Rogers,2009-06-30,0.419545455
Rogers,2009-07-31,0.235238095
Rogers,2009-08-31,0.160454545
Rogers,2009-09-30,0.157142857
Rogers,2009-10-31,0.367619048
Rogers,2009-11-30,0.0985
Rogers,2009-12-31,0.10047619
Rogers,2010-01-31,0.085789474
Rogers,2010-02-28,0.116315789
Rogers,2010-03-31,0.155217391
Rogers,2010-04-30,0.267619048
Rogers,2010-05-31,0.2845
Rogers,2010-06-30,0.274090909
Rogers,2010-07-31,0.4985
Rogers,2010-08-31,0.619565217
Rogers,2010-09-30,0.33952381
Rogers,2010-10-31,0.464545455
Rogers,2010-11-30,0.508
Rogers,2010-12-31,0.2205
Rogers,2011-01-31,0.185909091
Rogers,2011-02-28,0.151111111
Rogers,2011-03-31,0.149565217
Rogers,2011-04-30,0.216
Rogers,2011-05-31,0.197272727
Rogers,2011-06-30,0.172272727
Rogers,2011-07-31,0.255
Rogers,2011-08-31,0.253478261
Rogers,2011-09-30,0.4265
Rogers,2011-10-31,0.200909091
Rogers,2011-11-30,0.183157895
Rogers,2011-12-31,0.083888889
Rogers,2012-01-31,0.130909091
Rogers,2012-02-29,0.0965
Rogers,2012-03-31,0.174285714
Rogers,2012-04-30,0.173636364
Rogers,2012-05-31,0.118571429
Rogers,2012-06-30,0.18
Rogers,2012-07-31,0.327272727
Rogers,2012-08-31,0.211818182
Rogers,2012-09-30,0.2955
Rogers,2012-10-31,0.31173913
Rogers,2012-11-30,0.331578947
Rogers,2012-12-31,0.138947368
Rogers,2013-01-31,0.139565217
Rogers,2013-02-28,0.117368421
Rogers,2013-03-31,0.139047619
Rogers,2013-04-30,0.123181818
Rogers,2013-05-31,0.389090909
Rogers,2013-06-30,0.265238095
Rogers,2013-07-31,0.322272727
Rogers,2013-08-31,0.357
Rogers,2013-09-30,0.199047619
Rogers,2013-10-31,0.169565217
Rogers,2013-11-30,0.195
Rogers,2013-12-31,0.219047619
Rogers,2014-01-31,0.214545455
Rogers,2014-02-28,0.244444444
Rogers,2014-03-31,0.156666667
Rogers,2014-04-30,0.185909091
Rogers,2014-05-31,0.166
Rogers,2014-06-30,0.232272727
Rogers,2014-07-31,0.290454545
Rogers,2014-08-31,0.2425
Rogers,2014-09-30,0.21
Rogers,2014-10-31,0.13047619
Rogers,2014-11-30,0.113157895
Rogers,2014-12-31,0.115217391
Rogers,2015-01-31,0.119
Rogers,2015-02-28,0.107368421
Rogers,2015-03-31,0.091818182
Rogers,2015-04-30,0.114545455
Rogers,2015-05-31,0.1755
Rogers,2015-06-30,0.194090909
Rogers,2015-07-31,0.154285714
Rogers,2015-08-31,0.234761905
Rogers,2015-09-30,0.435238095
Rogers,2015-10-31,0.172105263
Rogers,2015-11-30,0.1215
Rogers,2015-12-31,0.17
Rogers,2016-01-31,0.0945
Rogers,2016-02-29,0.117
NACA,2011-01-31,0.3
NACA,2011-02-28,0.1
NACA,2011-03-31,0.06
NACA,2011-04-30,0.06
NACA,2011-05-31,0.06
NACA,2011-06-30,0.07
NACA,2011-07-31,0.08
NACA,2011-08-31,0.11
NACA,2011-09-30,0.05
NACA,2011-10-31,0.09
NACA,2011-11-30,0.11
NACA,2011-12-31,0.1
NACA,2012-01-31,0.07
NACA,2012-02-29,0.1
NACA,2012-03-31,0.08
NACA,2012-04-30,0.07
NACA,2012-05-31,0.06
NACA,2012-06-30,0.04
NACA,2012-07-31,0.04
NACA,2012-08-31,0.02
NACA,2012-09-30,0.02
NACA,2012-10-31,0.03
NACA,2012-11-30,0.03
NACA,2012-12-31,0.05
NACA,2013-01-31,0.08
NACA,2013-02-28,0.08
NACA,2013-03-31,0.1
NACA,2013-04-30,0.1
NACA,2013-05-31,0.08
NACA,2013-06-30,0.07
NACA,2013-07-31,0.08
NACA,2013-08-31,0.05
NACA,2013-09-30,0.05
NACA,2013-10-31,0.05
NACA,2013-11-30,0.06
NACA,2013-12-31,0.07
NACA,2014-01-31,0.09
NACA,2014-02-28,0.08
NACA,2014-03-31,0.07
NACA,2014-04-30,0.08
NACA,2014-05-31,0.07
NACA,2014-06-30,0.08
NACA,2014-07-31,0.08
NACA,2014-08-31,0.05
NACA,2014-09-30,0.06
NACA,2014-10-31,0.08
NACA,2014-11-30,0.05
NACA,2014-12-31,0.07
NACA,2015-01-31,0.09
NACA,2015-02-28,0.08
NACA,2015-03-31,0.07
NACA,2015-04-30,0.09
NACA,2015-05-31,0.07
NACA,2015-06-30,0.07
Sager,2002-04-30,2.38
Sager,2002-05-31,2.8
Sager,2002-06-30,3.13
Sager,2002-07-31,3.85
Sager,2002-08-31,3.49
Sager,2002-09-30,3.54
Sager,2002-10-31,5.25
Sager,2002-11-30,3.76
Sager,2002-12-31,4.91
Sager,2003-01-31,2.04
Sager,2003-02-28,6.5
Sager,2003-03-31,3.61
Sager,2003-04-30,3.52
Sager,2003-05-31,4.345
Sager,2003-06-30,2.91
Sager,2003-07-31,3.719
Sager,2003-08-31,3.24
Sager,2003-09-30,2.55
Sager,2003-10-31,6.29
Sager,2003-11-30,5.033
Sager,2003-12-31,2.368
Sager,2004-01-31,2.96
Sager,2004-02-29,2.975
Sager,2004-03-31,2
Sager,2004-04-30,3.323
Sager,2004-05-31,1.81
Sager,2004-06-30,5.02
Sager,2004-07-31,1.94
Sager,2004-08-31,2.96
Sager,2004-09-30,3.39
Sager,2004-10-31,4.81
Sager,2004-11-30,1.85
Sager,2004-12-31,1.018
Sager,2005-01-31,0.86
Sager,2005-02-28,3.34
Sager,2005-03-31,3.213
Sager,2005-04-30,3.656
Sager,2005-05-31,5.96
Sager,2005-06-30,2.751
Sager,2005-07-31,4.642
Sager,2005-08-31,4.5
Sager,2005-09-30,4.54
Sager,2005-10-31,3.77
Sager,2005-11-30,3.87
Sager,2005-12-31,3.63
Sager,2006-01-31,3.23
Sager,2006-02-28,3.841
Sager,2006-03-31,5.4
Sager,2006-04-30,5.538
Sager,2006-05-31,4.296
Sager,2006-06-30,2.938
Sager,2006-07-31,3.92
Sager,2006-08-31,4.46
Sager,2006-09-30,4.01
Sager,2006-10-31,3.64
Sager,2006-11-30,3.18
Sager,2006-12-31,2.09
Sager,2007-01-31,2.37
Sager,2007-02-28,7.95
Sager,2007-03-31,4.14
Sager,2007-04-30,3.4
Sager,2007-05-31,1.74
Sager,2007-06-30,3.49
Sager,2007-07-31,3.18
Sager,2007-08-31,1.22
Sager,2007-09-30,6.73
Sager,2007-10-31,2.654
Sager,2007-11-30,1.94
Sager,2007-12-31,2.73
Sager,2008-01-31,2.15
Sager,2008-02-29,2.15
Sager,2008-03-31,1.84
Sager,2008-04-30,1.76
Sager,2008-05-31,2.37
Sager,2008-06-30,1.03
Sager,2008-07-31,
Sager,2008-08-31,
Sager,2008-09-30,
Sager,2008-10-31,
Sager,2008-11-30,
Sager,2008-12-31,
Sager,2009-01-31,0.89
Sager,2009-02-28,1.17
Sager,2009-03-31,1.05
Sager,2009-04-30,1.44
Sager,2009-05-31,3.17
Sager,2009-06-30,1.27
Sager,2009-07-31,0.55
Sager,2009-08-31,0.82
Sager,2009-09-30,1.9
Sager,2009-10-31,1.06
Sager,2009-11-30,0.53
Sager,2009-12-31,0.77
Sager,2010-01-31,0.61
Sager,2010-02-28,0.2
Sager,2010-03-31,0.61
Sager,2010-04-30,0.86
Sager,2010-05-31,0.64
Sager,2010-06-30,0.63
Sager,2010-07-31,0.986
Sager,2010-08-31,0.538
Sager,2010-09-30,0.567
Sager,2010-10-31,0.62
Sager,2010-11-30,0.74
Sager,2010-12-31,0.744
Sager,2011-01-31,0.65
Sager,2011-02-28,0.59
Sager,2011-03-31,2.13
Sager,2011-04-30,0.392
Sager,2011-05-31,0.543
Sager,2011-06-30,0.685
Sager,2011-07-31,0.802
Sager,2011-08-31,0.071
Sager,2011-09-30,0.486
Sager,2011-10-31,0.496
Sager,2011-11-30,0.496
Sager,2011-12-31,0.476
Sager,2012-01-31,0.198
Sager,2012-02-29,0.255
Sager,2012-03-31,0.204
Sager,2012-04-30,0.161
Sager,2012-05-31,0.385
Sager,2012-06-30,0.457
Sager,2012-07-31,0.297
Sager,2012-08-31,0.52
Sager,2012-09-30,0.56
Sager,2012-10-31,0.448
Sager,2012-11-30,0.42
Sager,2012-12-31,0.177
Sager,2013-01-31,0.135
Sager,2013-02-28,0.27
Sager,2013-03-31,0.27
Sager,2013-04-30,0.35
Sager,2013-05-31,0.67
Sager,2013-06-30,0.662
Sager,2013-07-31,0.689
Sager,2013-08-31,0.761
Sager,2013-09-30,0.488
Sager,2013-10-31,0.172
Sager,2013-11-30,0.38
Sager,2013-12-31,0.439
Sager,2014-01-31,0.63
Sager,2014-02-28,0.42
Sager,2014-03-31,0.13
Sager,2014-04-30,0.149
Sager,2014-05-31,0.515
Sager,2014-06-30,0.257
Sager,2014-07-31,0.215
Sager,2014-08-31,0.645
Sager,2014-09-30,0.148
Sager,2014-10-31,0.197
Sager,2014-11-30,0.092
Sager,2014-12-31,0.067
Sager,2015-01-31,0.28
Sager,2015-02-28,0.286
Sager,2015-03-31,0.182
Sager,2015-04-30,0.107
Sager,2015-05-31,0.09
Sager,2015-06-30,0.08
Sager,2015-07-31,0.24
Sager,2015-08-31,0.121
Sager,2015-09-30,0.6
Sager,2015-10-31,0.319
Sager,2015-11-30,0.437
Sager,2015-12-31,0.219
Sager,2016-01-31,0.264
Sager,2016-02-29,0.3
Fayetteville,2008-06-30,0.345
Fayetteville,2008-07-31,0.708695652
Fayetteville,2008-08-31,0.871428571
Fayetteville,2008-09-30,0.597727273
Fayetteville,2008-10-31,0.312608696
Fayetteville,2008-11-30,0.4315
Fayetteville,2008-12-31,0.104347826
Fayetteville,2009-01-31,0.115454545
Fayetteville,2009-02-28,0.225
Fayetteville,2009-03-31,0.313636364
Fayetteville,2009-04-30,0.732727273
Fayetteville,2009-05-31,0.632857143
Fayetteville,2009-06-30,0.58
Fayetteville,2009-07-31,0.601304348
Fayetteville,2009-08-31,0.484285714
Fayetteville,2009-09-30,0.511363636
Fayetteville,2009-10-31,0.291363636
Fayetteville,2009-11-30,0.250952381
Fayetteville,2009-12-31,0.09826087
Fayetteville,2010-01-31,0.14952381
Fayetteville,2010-02-28,0.0905
Fayetteville,2010-03-31,0.092173913
Fayetteville,2010-04-30,0.135454545
Fayetteville,2010-05-31,0.113467262
Fayetteville,2010-06-30,0.153576617
Fayetteville,2010-07-31,0.171818182
Fayetteville,2010-08-31,0.172293564
Fayetteville,2010-09-30,0.206363636
Fayetteville,2010-10-31,0.357619048
Fayetteville,2010-11-30,0.186870241
Fayetteville,2010-12-31,0.107391304
Fayetteville,2011-01-31,0.085955916
Fayetteville,2011-02-28,0.1335
Fayetteville,2011-03-31,0.069268676
Fayetteville,2011-04-30,0.090946385
Fayetteville,2011-05-31,0.266860371
Fayetteville,2011-06-30,0.100973042
Fayetteville,2011-07-31,0.13952381
Fayetteville,2011-08-31,0.180869565
Fayetteville,2011-09-30,0.271363636
Fayetteville,2011-10-31,0.137142857
Fayetteville,2011-11-30,0.192727273
Fayetteville,2011-12-31,0.086363636
Fayetteville,2012-01-31,0.079376673
Fayetteville,2012-02-29,0.060439758
Fayetteville,2012-03-31,0.04982457
Fayetteville,2012-04-30,0.038356807
Fayetteville,2012-05-31,0.49581229
Fayetteville,2012-06-30,0.50952381
Fayetteville,2012-07-31,0.427272727
Fayetteville,2012-08-31,0.153043478
Fayetteville,2012-09-30,0.183
Fayetteville,2012-10-31,0.167391304
Fayetteville,2012-11-30,0.096406884
Fayetteville,2012-12-31,0.096688181
Fayetteville,2013-01-31,0.074245811
Fayetteville,2013-02-28,0.1055
Fayetteville,2013-03-31,0.053933426
Fayetteville,2013-04-30,0.063649102
Fayetteville,2013-05-31,0.104079974
Fayetteville,2013-06-30,0.090260634
Fayetteville,2013-07-31,0.057307805
Fayetteville,2013-08-31,0.162727273
Fayetteville,2013-09-30,0.125211766
Fayetteville,2013-10-31,0.177826087
Fayetteville,2013-11-30,0.123080723
Fayetteville,2013-12-31,0.092128232
Fayetteville,2014-01-31,0.09781947
Fayetteville,2014-02-28,0.123
Fayetteville,2014-03-31,0.091428571
Fayetteville,2014-04-30,0.177727273
Fayetteville,2014-05-31,0.090031204
Fayetteville,2014-06-30,0.06994347
Fayetteville,2014-07-31,0.143096479
Fayetteville,2014-08-31,0.189047619
Fayetteville,2014-09-30,0.234090909
Fayetteville,2014-10-31,0.161304348
Fayetteville,2014-11-30,0.08371668
Fayetteville,2014-12-31,0.07
Fayetteville,2015-01-31,0.110247655
Fayetteville,2015-02-28,0.1165461
Fayetteville,2015-03-31,0.055083478
Fayetteville,2015-04-30,0.10568252
Fayetteville,2015-05-31,0.051610534
Fayetteville,2015-06-30,0.206170261
Fayetteville,2015-07-31,0.18716856
Fayetteville,2015-08-31,0.106888935
Fayetteville,2015-09-30,0.096693088
Fayetteville,2015-10-31,0.132994359
Fayetteville,2015-11-30,0.183338613
Fayetteville,2015-12-31,0.103265235
Fayetteville,2016-01-31,0.125392859
Fayetteville,2016-02-29,0.056187228
Fayetteville,2016-03-31,0.095593206
