SITE,DATE,EffTP,MDL
NOLAND,2011-02-08,0.12,FALSE
NOLAND,2011-02-09,0.15,FALSE
NOLAND,2011-02-10,0.1,FALSE
NOLAND,2011-02-13,0.09,FALSE
NOLAND,2011-02-14,0.12,FALSE
NOLAND,2011-02-15,0.14,FALSE
NOLAND,2011-02-16,0.13,FALSE
NOLAND,2011-02-17,0.15,FALSE
NOLAND,2011-02-20,0.11,FALSE
NOLAND,2011-02-21,0.11,FALSE
NOLAND,2011-02-22,0.14,FALSE
NOLAND,2011-02-23,0.11,FALSE
NOLAND,2011-02-24,0.06,FALSE
NOLAND,2011-02-27,0.18,FALSE
NOLAND,2011-02-28,0.08,FALSE
NOLAND,2011-03-01,0.03,FALSE
NOLAND,2011-03-02,0.11,FALSE
NOLAND,2011-03-03,0.08,FALSE
NOLAND,2011-03-06,0.15,FALSE
NOLAND,2011-03-07,0.09,FALSE
NOLAND,2011-03-08,0.12,FALSE
NOLAND,2011-03-09,0.29,FALSE
NOLAND,2011-03-11,0.15,FALSE
NOLAND,2011-03-13,0.2,FALSE
NOLAND,2011-03-14,0.09,FALSE
NOLAND,2011-03-15,0.11,FALSE
NOLAND,2011-03-16,0.03,TRUE
NOLAND,2011-03-17,0.03,TRUE
NOLAND,2011-03-20,0.07,FALSE
NOLAND,2011-03-21,0.04,FALSE
NOLAND,2011-03-22,0.07,FALSE
NOLAND,2011-03-23,0.08,FALSE
NOLAND,2011-03-24,0.09,FALSE
NOLAND,2011-03-27,0.09,FALSE
NOLAND,2011-03-29,0.18,FALSE
NOLAND,2011-03-30,0.12,FALSE
NOLAND,2011-03-31,0.09,FALSE
NOLAND,2011-04-01,0.16,FALSE
NOLAND,2011-04-03,0.21,FALSE
NOLAND,2011-04-04,0.15,FALSE
NOLAND,2011-04-05,0.1,FALSE
NOLAND,2011-04-06,0.24,FALSE
NOLAND,2011-04-07,0.2,FALSE
NOLAND,2011-04-10,0.32,FALSE
NOLAND,2011-04-11,0.24,FALSE
NOLAND,2011-04-12,0.23,FALSE
NOLAND,2011-04-13,0.17,FALSE
NOLAND,2011-04-14,0.16,FALSE
NOLAND,2011-04-17,0.06,FALSE
NOLAND,2011-04-18,0.16,FALSE
NOLAND,2011-04-20,0.13,FALSE
NOLAND,2011-04-21,0.08,FALSE
NOLAND,2011-04-22,0.12,FALSE
NOLAND,2011-04-24,0.05,FALSE
NOLAND,2011-04-27,0.1,FALSE
NOLAND,2011-04-28,0.1,FALSE
NOLAND,2011-04-29,0.13,FALSE
NOLAND,2011-04-30,0.07,FALSE
NOLAND,2011-05-01,0.1,FALSE
NOLAND,2011-05-02,0.1,FALSE
NOLAND,2011-05-03,0.03,TRUE
NOLAND,2011-05-04,0.03,TRUE
NOLAND,2011-05-05,0.07,FALSE
NOLAND,2011-05-08,0.09,FALSE
NOLAND,2011-05-10,0.13,FALSE
NOLAND,2011-05-11,0.15,FALSE
NOLAND,2011-05-12,0.17,FALSE
NOLAND,2011-05-13,0.17,FALSE
NOLAND,2011-05-15,0.12,FALSE
NOLAND,2011-05-16,0.09,FALSE
NOLAND,2011-05-17,0.17,FALSE
NOLAND,2011-05-18,0.2,FALSE
