Site,Date,Flow
Richland Creek,2010-08-29,1.7
Richland Creek,2010-08-30,1.9
Richland Creek,2010-08-31,1.8
Richland Creek,2010-09-01,2
Richland Creek,2010-09-02,2.7
Richland Creek,2010-09-03,4.7
Richland Creek,2010-09-04,2.4
Richland Creek,2010-09-05,1.5
Richland Creek,2010-09-06,1.2
Richland Creek,2010-09-07,7.7
Richland Creek,2010-09-08,10
Richland Creek,2010-09-09,125
Richland Creek,2010-09-10,107
Richland Creek,2010-09-11,52
Richland Creek,2010-09-12,36
Richland Creek,2010-09-13,29
Richland Creek,2010-09-14,28
Richland Creek,2010-09-15,38
Richland Creek,2010-09-16,45
Richland Creek,2010-09-17,33
Richland Creek,2010-09-18,25
Richland Creek,2010-09-19,22
Richland Creek,2010-09-20,20
Richland Creek,2010-09-21,17
Richland Creek,2010-09-22,15
Richland Creek,2010-09-23,12
Richland Creek,2010-09-24,16
Richland Creek,2010-09-25,16
Richland Creek,2010-09-26,14
Richland Creek,2010-09-27,13
Richland Creek,2010-09-28,12
Richland Creek,2010-09-29,11
Richland Creek,2010-09-30,9.4
Richland Creek,2010-10-01,8.9
Richland Creek,2010-10-02,10
Richland Creek,2010-10-03,9.6
Richland Creek,2010-10-04,8.6
Richland Creek,2010-10-05,7.7
Richland Creek,2010-10-06,6.8
Richland Creek,2010-10-07,6.2
Richland Creek,2010-10-08,5.6
Richland Creek,2010-10-09,4.9
Richland Creek,2010-10-10,4.5
Richland Creek,2010-10-11,4.4
Richland Creek,2010-10-12,4.3
Richland Creek,2010-10-13,4.4
Richland Creek,2010-10-14,4.3
Richland Creek,2010-10-15,4.1
Richland Creek,2010-10-16,3.9
Richland Creek,2010-10-17,3.7
Richland Creek,2010-10-18,3.5
Richland Creek,2010-10-19,4.7
Richland Creek,2010-10-20,4.3
Richland Creek,2010-10-21,3.8
Richland Creek,2010-10-22,3.7
Richland Creek,2010-10-23,4.9
Richland Creek,2010-10-24,6.6
Richland Creek,2010-10-25,5.2
Richland Creek,2010-10-26,6.3
Richland Creek,2010-10-27,6
Richland Creek,2010-10-28,5.9
