"","X.5.30.","NO3test5to30modes","NO3test5to30stdevs","X.5.30..1","TNtest5to30modes","TNtest5to30stdevs","X.5.30..2","SRPtest5to30modes","SRPtest5to30stdevs","X.5.30..3","TPtest5to30modes","TPtest5to30stdevs","X.5.30..4","TSStest5to30modes","TSStest5to30stdevs","X.5.30..5","Cltest5to30modes","Cltest5to30stdevs","X.5.30..6","SO4test5to30modes","SO4test5to30stdevs"
"folds.15",15,0.2,0.271233012258419,15,0.7,0.217182797078725,15,0.65,0.130809879175068,15,0.9,0.116167542623504,15,0.9,0.117369119465393,15,0.8,0.127519506310979,15,0.75,0.0722029452731843
"folds.16",16,0.2,0.267192508754819,16,0.2,0.246394407569719,16,0.65,0.118166261285201,16,0.9,0.118928035176826,16,0.9,0.107854777646725,16,0.85,0.128951818244534,16,0.75,0.0585888475840282
"folds.17",17,0.2,0.277201761045147,17,0.2,0.248343491551356,17,0.8,0.109381377365097,17,0.85,0.148217297731873,17,0.85,0.14151151968685,17,0.8,0.108909248871691,17,0.75,0.0528860924583222
"folds.18",18,0.2,0.263152008527081,18,0.7,0.243027251348402,18,0.9,0.140320333232099,18,0.85,0.101524099883441,18,0.9,0.103035559544326,18,0.8,0.137325027818334,18,0.75,0.0468279525802393
"folds.19",19,0.2,0.250764138307742,19,0.7,0.212518906721933,19,0.9,0.110083456281763,19,0.9,0.0845395692886485,19,0.85,0.0989176115641245,19,0.85,0.109059055337099,19,0.75,0.0451301971398038
"folds.20",20,0.2,0.273691693072959,20,0.65,0.224338028475798,20,0.85,0.108180687853654,20,0.85,0.117042640058385,20,0.85,0.124740547063225,20,0.75,0.116185109165662,20,0.8,0.0542481072744215
"folds.21",21,0.2,0.274278273708603,21,0.7,0.253715250963415,21,0.9,0.114236596587959,21,0.9,0.108463292012947,21,0.65,0.106694299141931,21,0.75,0.114468603662707,21,0.75,0.0439038838875123
"folds.22",22,0.2,0.270722766546389,22,0.7,0.237512620502489,22,0.9,0.116215844225216,22,0.85,0.0978128158207068,22,0.65,0.122395311368116,22,0.8,0.111739492954435,22,0.75,0.0416006279387458
"folds.23",23,0.2,0.249210999855503,23,0.7,0.220851783339147,23,0.85,0.0933721979335325,23,0.9,0.127375389286622,23,0.8,0.113676950080444,23,0.85,0.145086181285469,23,0.75,0.0373756441484318
"folds.24",24,0.2,0.27656050745852,24,0.75,0.212189749507177,24,0.9,0.116937974139791,24,0.9,0.111396515535583,24,0.8,0.108796758655199,24,0.85,0.112830014822732,24,0.75,0.046246897303539
"folds.25",25,0.2,0.251260089654249,25,0.2,0.250560595954148,25,0.9,0.132714977700795,25,0.9,0.112762166183738,25,0.85,0.116933611026749,25,0.8,0.11858433664679,25,0.75,0.0497442438470862
"folds.26",26,0.2,0.263533679062089,26,0.8,0.239525466244389,26,0.9,0.0921677707183139,26,0.9,0.106142953278172,26,0.85,0.112376916795984,26,0.85,0.137157737287982,26,0.75,0.0416496563917522
"folds.27",27,0.2,0.264592486048772,27,0.75,0.221810730128188,27,0.9,0.113010745380378,27,0.85,0.0808690046826802,27,0.9,0.110661277632905,27,0.85,0.128967643466198,27,0.75,0.0373073281634303
"folds.28",28,0.2,0.248875019859776,28,0.7,0.236824226559941,28,0.9,0.10412414097938,28,0.9,0.108307950977285,28,0.9,0.105989025230859,28,0.8,0.115546615736521,28,0.75,0.0467734444106997
"folds.29",29,0.2,0.27019267501665,29,0.2,0.259512887494071,29,0.85,0.0970798114744686,29,0.9,0.0868966075756889,29,0.7,0.126366005503612,29,0.8,0.130809879175068,29,0.75,0.0434365594157451
"folds.30",30,0.2,0.224247039431689,30,0.7,0.235443567483564,30,0.9,0.094226171675238,30,0.85,0.0979431321883119,30,0.8,0.115285802796921,30,0.75,0.120695264773625,30,0.75,0.0451301971398038
