"","X.5.45.","NO3test5to45modes","NO3test5to45stdevs","X.5.45..1","TNtest5to45modes","TNtest5to45stdevs","X.5.45..2","SRPtest5to45modes","SRPtest5to45stdevs","X.5.45..3","TPtest5to45modes","TPtest5to45stdevs","X.5.45..4","TSStest5to45modes","TSStest5to45stdevs","X.5.45..5","Cltest5to45modes","Cltest5to45stdevs","X.5.45..6","SO4test5to45modes","SO4test5to45stdevs"
"folds.30",30,0.2,0,30,0.2,0.01041241655037,30,0.9,0.175550606707911,30,0.85,0.0902662062346036,30,0.7,0.0815669244434481,30,0.75,0.0720737964320746,30,0.9,0.0631539858277047
"folds.31",31,0.2,0.00223494854414928,31,0.2,0.0087666615284471,31,0.45,0.173685532397388,31,0.85,0.0918848209462277,31,0.7,0.0810427537040045,31,0.75,0.0841610395645193,31,0.9,0.069264330990399
"folds.32",32,0.2,0.00158113883008419,32,0.2,0.0122943544422288,32,0.45,0.17224722525082,32,0.85,0.0950873367047453,32,0.7,0.0829509394664,32,0.75,0.0791121750189959,32,0.9,0.0658204362628343
"folds.33",33,0.2,0,33,0.2,0.0102714654749458,33,0.9,0.177229710743911,33,0.85,0.0951064810764374,33,0.7,0.0801704733976594,33,0.75,0.0731687341947615,33,0.9,0.066445409867744
"folds.34",34,0.2,0,34,0.2,0.00718673424784506,34,0.45,0.175888734280644,34,0.85,0.0891631093000915,34,0.7,0.0793062385911694,34,0.75,0.0665848597170824,34,0.9,0.065022056779741
"folds.35",35,0.2,0,35,0.2,0.0135602869210567,35,0.45,0.173938759890348,35,0.85,0.0880149085332941,35,0.7,0.078814794117423,35,0.75,0.087952803796671,35,0.9,0.0721307343844692
"folds.36",36,0.2,0.00158113883008419,36,0.2,0.0118142742932893,36,0.45,0.170043854380017,36,0.85,0.0925042406300086,36,0.7,0.0826587712978633,36,0.75,0.0773186631782759,36,0.9,0.0698764819000121
"folds.37",37,0.2,0.00223494854414928,37,0.2,0.0107607292175435,37,0.9,0.173496660172728,37,0.85,0.0922141038070693,37,0.7,0.080833851891467,37,0.75,0.0750746042027276,37,0.9,0.0649486591726752
"folds.38",38,0.2,0.00158113883008419,38,0.2,0.0104354635210372,38,0.9,0.17344890320213,38,0.85,0.0904819151929101,38,0.7,0.0813410497004211,38,0.75,0.0698157162409313,38,0.9,0.0608781047967465
"folds.39",39,0.2,0,39,0.2,0.00545708528243602,39,0.9,0.176426433071369,39,0.85,0.0875153497189861,39,0.7,0.0786604409151447,39,0.75,0.0620219656591455,39,0.9,0.0604019734644357
"folds.40",40,0.2,0,40,0.2,0.0177940053564853,40,0.45,0.171792054560186,40,0.85,0.08679817926618,40,0.7,0.0770967178542894,40,0.75,0.0918337271019392,40,0.9,0.0710247986411931
"folds.41",41,0.2,0.00352844866052348,41,0.2,0.0156755613367823,41,0.45,0.171535482982157,41,0.85,0.101038637690273,41,0.7,0.0839463190645337,41,0.75,0.0797563230789326,41,0.9,0.067712350885658
"folds.42",42,0.2,0.00158113883008419,42,0.2,0.0111759743379449,42,0.45,0.171556963693672,42,0.85,0.0931138023076073,42,0.7,0.0808855980999089,42,0.75,0.0756012933457858,42,0.9,0.065452609146191
"folds.43",43,0.2,0.00158113883008419,43,0.2,0.00721037374131809,43,0.9,0.174604486559558,43,0.85,0.0897170365462806,43,0.7,0.0781159529296168,43,0.75,0.0747506867203584,43,0.9,0.0609335942063399
"folds.44",44,0.2,0,44,0.2,0.00970021103348242,44,0.9,0.177317621907804,44,0.85,0.0892834336903075,44,0.7,0.0780053513217833,44,0.75,0.0669490827396439,44,0.9,0.0598377644807864
"folds.45",45,0.2,0,45,0.2,0.00498646817545895,45,0.9,0.175200271504171,45,0.85,0.0861120943468036,45,0.7,0.0772759281346337,45,0.75,0.0672802841598981,45,0.9,0.0574541423961622
