"","TSS.Date","TSS.Flow","TSS.concentrations.TSS","lnC","lnQ"
"79",2013-06-06,0.65,8.6,2.15176220325946,-0.430782916092454
"80",2013-06-12,0.38,1.3,0.262364264467491,-0.967584026261706
"81",2013-06-12,0.38,2.88,1.05779029414785,-0.967584026261706
"82",2013-06-25,0.1,3.9,1.3609765531356,-2.30258509299405
"83",2013-07-08,0.02,4.1,1.41098697371026,-3.91202300542815
"84",2013-07-16,0.31,67.1,4.20618404397764,-1.17118298150295
"85",2013-07-31,2.3,5.1,1.62924053973028,0.832909122935104
"86",2013-08-07,0.06,3.4,1.22377543162212,-2.81341071676004
"87",2013-08-07,0.06,2.1,0.741937344729377,-2.81341071676004
"88",2013-08-13,7.2,74.1,4.30541553230204,1.97408102602201
"89",2013-08-20,0.07,0.4,-0.916290731874155,-2.65926003693278
"90",2013-08-28,0.06,1.2,0.182321556793955,-2.81341071676004
"91",2013-09-04,0.02,5.6,1.7227665977411,-3.91202300542815
"92",2013-09-23,0.07,3.1,1.1314021114911,-2.65926003693278
"93",2013-09-28,0.65,61.7,4.12228393091134,-0.430782916092454
"94",2013-10-05,27,715.6,6.57312135163456,3.29583686600433
"95",2013-10-24,0.48,2.7,0.993251773010283,-0.7339691750802
"96",2013-10-30,3.6,9.5,2.2512917986065,1.28093384546206
"97",2013-11-06,2,0.9,-0.105360515657826,0.693147180559945
"98",2013-11-13,0.71,0.1,-2.30258509299405,-0.342490308946776
"99",2013-11-21,16,54.7,4.00186370942794,2.77258872223978
"100",2013-12-02,1,1.5,0.405465108108164,0
"101",2013-12-12,1.1,0.3,-1.20397280432594,0.0953101798043249
"102",2013-12-18,1.6,2.3,0.832909122935104,0.470003629245736
"103",2014-01-09,1.5,0.9,-0.105360515657826,0.405465108108164
"104",2014-01-10,10,77.5,4.3502779363593,2.30258509299405
"105",2014-01-22,1.1,0.5,-0.693147180559945,0.0953101798043249
"106",2014-01-28,0.75,2.88,1.05779029414785,-0.287682072451781
"107",2014-02-06,0.95,0.9,-0.105360515657826,-0.0512932943875506
"108",2014-02-12,0.87,2.88,1.05779029414785,-0.139262067333508
"109",2014-02-21,0.98,1,0,-0.0202027073175195
"110",2014-02-26,0.65,0.1,-2.30258509299405,-0.430782916092454
"111",2014-03-07,5,0.3,-1.20397280432594,1.6094379124341
"112",2014-03-11,1.8,1.3,0.262364264467491,0.587786664902119
"113",2014-03-16,39,138.9,4.9337542497603,3.66356164612965
"114",2014-03-27,1.5,4.5,1.50407739677627,0.405465108108164
"115",2014-03-27,1.5,135.3,4.90749453517674,0.405465108108164
"116",2014-04-03,3.1,214,5.36597601502185,1.1314021114911
"117",2014-04-03,3.1,2.3,0.832909122935104,1.1314021114911
"118",2014-04-07,8.2,2.9,1.06471073699243,2.10413415427021
"119",2014-04-13,1.2,28.5,3.3499040872746,0.182321556793955
"120",2014-04-22,0.35,1.2,0.182321556793955,-1.04982212449868
"121",2014-04-27,0.49,90.2,4.50202942706858,-0.713349887877465
"122",2014-04-28,0.52,0.8,-0.22314355131421,-0.653926467406664
"123",2014-05-08,2.3,179.6,5.1907321558681,0.832909122935104
"124",2014-05-12,5.1,280.9,5.6379987341102,1.62924053973028
"125",2014-05-20,0.33,4.9,1.58923520511658,-1.10866262452161
"126",2014-05-28,0.22,1.5,0.405465108108164,-1.51412773262978
"127",2014-06-02,0.42,11.5,2.4423470353692,-0.867500567704723
"128",2014-06-06,2.7,386.1,5.95609640327019,0.993251773010283
"129",2014-06-10,0.91,9.7,2.27212588550934,-0.0943106794712413
"130",2014-06-16,0.43,1.5,0.405465108108164,-0.843970070294529
"131",2014-07-01,0.05,2.3,0.832909122935104,-2.99573227355399
"132",2014-07-09,0.01,2.9,1.06471073699243,-4.60517018598809
"133",2014-07-10,0.03,82,4.40671924726425,-3.50655789731998
"134",2014-07-23,0.02,6.1,1.80828877117927,-3.91202300542815
"135",2014-08-07,0.08,106.2,4.66532410880784,-2.52572864430826
"136",2014-08-12,0.02,1.2,0.182321556793955,-3.91202300542815
"137",2014-08-30,0.03,6.1,1.80828877117927,-3.50655789731998
"138",2014-09-02,1.3,148.5,5.00058495824275,0.262364264467491
"139",2014-09-06,0.04,1.6,0.470003629245736,-3.2188758248682
"140",2014-09-10,0.03,0.8,-0.22314355131421,-3.50655789731998
"141",2014-09-17,3.2,0.7,-0.356674943938732,1.16315080980568
"142",2014-09-17,3.2,721.9,6.58188662514512,1.16315080980568
"143",2014-09-24,0.04,0.6,-0.510825623765991,-3.2188758248682
"144",2014-10-10,12,121.1,4.79661665055905,2.484906649788
"145",2014-10-13,16,7,1.94591014905531,2.77258872223978
"146",2014-10-22,0.32,0.7,-0.356674943938732,-1.13943428318836
"147",2014-10-29,0.07,0.9,-0.105360515657826,-2.65926003693278
"148",2014-11-04,2.5,15.7,2.75366071235426,0.916290731874155
"149",2014-11-12,0.25,0.9,-0.105360515657826,-1.38629436111989
"150",2014-11-19,0.12,0.5,-0.693147180559945,-2.12026353620009
"151",2014-12-03,0.21,0.7,-0.356674943938732,-1.56064774826467
"152",2014-12-05,2.1,35.1,3.55820113047182,0.741937344729377
"153",2014-12-10,0.09,0.3,-1.20397280432594,-2.40794560865187
"154",2014-12-17,4.7,2.88,1.05779029414785,1.54756250871601
"155",2015-01-07,0.8,1.4,0.336472236621213,-0.22314355131421
"156",2015-01-14,0.65,0.3,-1.20397280432594,-0.430782916092454
"157",2015-01-21,0.65,0.4,-0.916290731874155,-0.430782916092454
"158",2015-01-28,0.56,0.7,-0.356674943938732,-0.579818495252942
