"","SRP.Date","SRP.Flow","SRP.concentrations.SRP","lnC","lnQ"
"61",2013-01-15,0.1,0.005,-5.29831736654804,-2.30258509299405
"62",2013-01-23,0.09,0.005,-5.29831736654804,-2.40794560865187
"63",2013-01-29,16,0.028,-3.57555076880693,2.77258872223978
"64",2013-02-06,0.49,0.007,-4.96184512992682,-0.713349887877465
"65",2013-02-11,0.92,0.008,-4.8283137373023,-0.083381608939051
"66",2013-02-20,0.65,0.009,-4.71053070164592,-0.430782916092454
"67",2013-02-27,0.85,0.005,-5.29831736654804,-0.162518929497775
"68",2013-03-06,0.7,0.003,-5.80914299031403,-0.356674943938732
"69",2013-03-09,1.8,0.022,-3.81671282562382,0.587786664902119
"70",2013-03-19,0.48,0.005,-5.29831736654804,-0.7339691750802
"71",2013-03-29,3.5,0.011,-4.50986000618377,1.25276296849537
"72",2013-04-03,3.2,0.01,-4.60517018598809,1.16315080980568
"73",2013-04-10,9.9,0.045,-3.10109278921182,2.29253475714054
"74",2013-04-24,0.3,0.009,-4.71053070164592,-1.20397280432594
"75",2013-05-03,1.5,0.017,-4.07454193492592,0.405465108108164
"76",2013-05-09,15,15.138,2.71720813888698,2.70805020110221
"77",2013-05-20,3.4,0.114,-2.17155683058764,1.22377543162212
"78",2013-05-21,22,0.114,-2.17155683058764,3.09104245335832
"79",2013-05-30,7.6,0.032,-3.44201937618241,2.02814824729229
"80",2013-06-06,0.65,0.021,-3.86323284125871,-0.430782916092454
"81",2013-06-12,0.38,0.021,-3.86323284125871,-0.967584026261706
"82",2013-06-12,0.38,0.003,-5.80914299031403,-0.967584026261706
"83",2013-06-25,0.1,0.013,-4.3428059215206,-2.30258509299405
"84",2013-07-08,0.02,0.009,-4.71053070164592,-3.91202300542815
"85",2013-07-16,0.31,0.081,-2.5133061243097,-1.17118298150295
"86",2013-07-31,2.3,0.026,-3.64965874096066,0.832909122935104
"87",2013-08-07,0.06,0.021,-3.86323284125871,-2.81341071676004
"88",2013-08-07,0.06,0.023,-3.77226106305299,-2.81341071676004
"89",2013-08-13,7.2,0.038,-3.27016911925575,1.97408102602201
"90",2013-08-20,0.07,0.021,-3.86323284125871,-2.65926003693278
"91",2013-08-28,0.06,0.017,-4.07454193492592,-2.81341071676004
"92",2013-09-04,0.02,0.021,-3.86323284125871,-3.91202300542815
"93",2013-09-23,0.07,0.021,-3.86323284125871,-2.65926003693278
"94",2013-09-28,0.65,0.004,-5.52146091786225,-0.430782916092454
"95",2013-10-05,27,0.102,-2.28278246569787,3.29583686600433
"96",2013-10-24,0.48,0.017,-4.07454193492592,-0.7339691750802
"97",2013-10-30,3.6,0.022,-3.81671282562382,1.28093384546206
"98",2013-11-06,2,0.011,-4.50986000618377,0.693147180559945
"99",2013-11-13,0.71,0.004,-5.52146091786225,-0.342490308946776
"100",2013-11-21,16,0.088,-2.43041846450393,2.77258872223978
"101",2013-12-02,1,0.002,-6.21460809842219,0
"102",2013-12-12,1.1,0.008,-4.8283137373023,0.0953101798043249
"103",2013-12-18,1.6,0.007,-4.96184512992682,0.470003629245736
"104",2014-01-09,1.5,0.015,-4.19970507787993,0.405465108108164
"105",2014-01-10,10,0.021,-3.86323284125871,2.30258509299405
"106",2014-01-22,1.1,0.008,-4.8283137373023,0.0953101798043249
"107",2014-01-28,0.75,0.008,-4.8283137373023,-0.287682072451781
"108",2014-02-06,0.95,0.008,-4.8283137373023,-0.0512932943875506
"109",2014-02-12,0.87,0.008,-4.8283137373023,-0.139262067333508
"110",2014-02-21,0.98,0.005,-5.29831736654804,-0.0202027073175195
"111",2014-02-26,0.65,0.004,-5.52146091786225,-0.430782916092454
"112",2014-03-07,5,0.005,-5.29831736654804,1.6094379124341
"113",2014-03-11,1.8,0.004,-5.52146091786225,0.587786664902119
"114",2014-03-16,39,0.132,-2.02495335639577,3.66356164612965
"115",2014-03-27,1.5,0.01,-4.60517018598809,0.405465108108164
"116",2014-03-27,1.5,0.009,-4.71053070164592,0.405465108108164
"117",2014-04-03,3.1,0.032,-3.44201937618241,1.1314021114911
"118",2014-04-03,3.1,0.008,-4.8283137373023,1.1314021114911
"119",2014-04-07,8.2,0.011,-4.50986000618377,2.10413415427021
