"","folds.5","folds.6","folds.7","folds.8","folds.9","folds.10","folds.11","folds.12","folds.13","folds.14","folds.15","folds.16","folds.17","folds.18","folds.19","folds.20","folds.21","folds.22","folds.23","folds.24","folds.25","folds.26","folds.27","folds.28","folds.29","folds.30","folds.31","folds.32","folds.33","folds.34","folds.35","folds.36","folds.37","folds.38","folds.39","folds.40","folds.41","folds.42","folds.43","folds.44","folds.45"
"457",0.5,0.45,0.2,0.4,0.4,0.55,0.25,0.45,0.25,0.45,0.4,0.6,0.5,0.4,0.4,0.3,0.5,0.55,0.45,0.5,0.5,0.5,0.3,0.25,0.6,0.45,0.6,0.4,0.45,0.45,0.5,0.5,0.5,0.5,0.3,0.45,0.5,0.45,0.4,0.5,0.45
"458",0.4,0.55,0.5,0.45,0.35,0.55,0.35,0.5,0.3,0.45,0.4,0.5,0.5,0.4,0.5,0.4,0.5,0.55,0.5,0.55,0.35,0.45,0.55,0.45,0.5,0.4,0.3,0.45,0.5,0.3,0.45,0.5,0.45,0.45,0.4,0.5,0.5,0.45,0.5,0.55,0.45
"459",0.55,0.5,0.35,0.45,0.45,0.5,0.35,0.4,0.5,0.55,0.3,0.5,0.45,0.45,0.55,0.5,0.55,0.45,0.45,0.55,0.5,0.45,0.5,0.45,0.45,0.4,0.4,0.55,0.45,0.5,0.4,0.4,0.45,0.5,0.55,0.5,0.45,0.45,0.55,0.5,0.45
"460",0.5,0.45,0.55,0.25,0.5,0.45,0.4,0.35,0.4,0.4,0.4,0.5,0.5,0.45,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.45,0.4,0.4,0.55,0.5,0.5,0.55,0.25,0.5,0.4,0.45,0.3,0.45,0.55,0.5,0.4,0.4,0.5,0.55
"461",0.3,0.4,0.45,0.3,0.35,0.45,0.55,0.45,0.5,0.45,0.5,0.4,0.5,0.25,0.5,0.4,0.5,0.4,0.45,0.35,0.5,0.45,0.45,0.55,0.45,0.45,0.45,0.5,0.5,0.45,0.4,0.45,0.45,0.4,0.3,0.5,0.35,0.45,0.3,0.5,0.5
"462",0.35,0.5,0.5,0.5,0.45,0.45,0.55,0.4,0.45,0.2,0.6,0.55,0.45,0.55,0.55,0.35,0.3,0.4,0.4,0.4,0.4,0.4,0.55,0.45,0.4,0.5,0.45,0.45,0.45,0.5,0.55,0.45,0.55,0.45,0.55,0.4,0.5,0.45,0.4,0.5,0.4
"463",0.4,0.4,0.5,0.3,0.25,0.55,0.55,0.55,0.3,0.5,0.5,0.3,0.35,0.4,0.6,0.5,0.25,0.35,0.5,0.3,0.4,0.55,0.25,0.55,0.6,0.4,0.45,0.5,0.5,0.55,0.5,0.45,0.3,0.4,0.45,0.5,0.5,0.55,0.5,0.45,0.5
"464",0.5,0.5,0.6,0.4,0.45,0.45,0.55,0.5,0.45,0.4,0.45,0.4,0.45,0.5,0.6,0.45,0.55,0.45,0.45,0.5,0.4,0.55,0.45,0.5,0.45,0.4,0.45,0.45,0.45,0.4,0.35,0.4,0.45,0.5,0.35,0.5,0.3,0.45,0.45,0.45,0.5
"465",0.4,0.35,0.45,0.35,0.35,0.5,0.5,0.5,0.35,0.45,0.45,0.25,0.45,0.55,0.5,0.5,0.5,0.3,0.45,0.6,0.55,0.4,0.5,0.4,0.45,0.5,0.35,0.4,0.4,0.4,0.5,0.35,0.45,0.4,0.55,0.55,0.45,0.5,0.4,0.5,0.5
"466",0.25,0.3,0.45,0.55,0.35,0.35,0.5,0.4,0.5,0.5,0.45,0.5,0.4,0.5,0.35,0.45,0.55,0.45,0.5,0.5,0.5,0.5,0.45,0.5,0.45,0.55,0.4,0.35,0.55,0.5,0.4,0.4,0.45,0.55,0.55,0.55,0.4,0.35,0.4,0.5,0.55
"467",0.5,0.3,0.3,0.5,0.4,0.5,0.45,0.25,0.5,0.3,0.5,0.55,0.6,0.5,0.5,0.3,0.25,0.45,0.5,0.55,0.4,0.4,0.45,0.45,0.4,0.25,0.45,0.45,0.4,0.5,0.3,0.5,0.5,0.4,0.45,0.45,0.4,0.3,0.45,0.55,0.5
"468",0.2,0.45,0.3,0.55,0.45,0.45,0.35,0.55,0.5,0.5,0.3,0.3,0.45,0.4,0.5,0.45,0.55,0.5,0.4,0.5,0.4,0.5,0.45,0.55,0.4,0.55,0.5,0.5,0.4,0.6,0.6,0.5,0.5,0.3,0.4,0.45,0.5,0.4,0.55,0.55,0.45
"469",0.3,0.35,0.45,0.3,0.45,0.35,0.4,0.5,0.55,0.45,0.3,0.4,0.35,0.45,0.4,0.6,0.45,0.55,0.5,0.45,0.4,0.35,0.3,0.45,0.35,0.45,0.5,0.5,0.45,0.4,0.5,0.5,0.45,0.45,0.45,0.45,0.5,0.5,0.55,0.4,0.5
"470",0.6,0.55,0.3,0.25,0.45,0.55,0.55,0.5,0.5,0.45,0.25,0.45,0.45,0.5,0.3,0.5,0.35,0.55,0.45,0.35,0.5,0.25,0.5,0.5,0.55,0.5,0.5,0.4,0.6,0.5,0.45,0.5,0.35,0.55,0.55,0.5,0.5,0.2,0.4,0.45,0.4
"471",0.3,0.55,0.4,0.4,0.55,0.4,0.35,0.45,0.3,0.55,0.3,0.5,0.5,0.55,0.5,0.5,0.45,0.55,0.55,0.4,0.55,0.55,0.45,0.4,0.45,0.5,0.5,0.55,0.45,0.45,0.5,0.45,0.5,0.5,0.45,0.4,0.45,0.55,0.25,0.45,0.45
"472",0.45,0.6,0.5,0.5,0.55,0.5,0.45,0.55,0.55,0.2,0.3,0.55,0.5,0.45,0.3,0.6,0.45,0.55,0.55,0.5,0.35,0.55,0.45,0.45,0.35,0.5,0.55,0.5,0.5,0.45,0.5,0.5,0.5,0.35,0.45,0.45,0.5,0.45,0.45,0.55,0.45
"473",0.3,0.45,0.4,0.55,0.45,0.35,0.4,0.45,0.3,0.35,0.5,0.45,0.3,0.5,0.5,0.45,0.45,0.55,0.4,0.45,0.4,0.45,0.5,0.4,0.45,0.5,0.5,0.55,0.4,0.4,0.4,0.55,0.55,0.45,0.3,0.5,0.45,0.45,0.55,0.5,0.45
"474",0.4,0.5,0.3,0.6,0.45,0.35,0.35,0.4,0.3,0.2,0.35,0.5,0.6,0.25,0.45,0.3,0.5,0.45,0.55,0.55,0.5,0.4,0.35,0.5,0.5,0.45,0.4,0.45,0.4,0.45,0.55,0.5,0.4,0.4,0.5,0.5,0.45,0.5,0.55,0.55,0.3
"475",0.6,0.55,0.55,0.45,0.3,0.45,0.5,0.45,0.45,0.55,0.3,0.4,0.5,0.4,0.55,0.45,0.45,0.45,0.45,0.25,0.5,0.45,0.45,0.6,0.4,0.5,0.4,0.55,0.45,0.6,0.45,0.5,0.4,0.45,0.55,0.5,0.55,0.5,0.45,0.3,0.5
"476",0.25,0.4,0.55,0.35,0.5,0.5,0.6,0.5,0.5,0.35,0.45,0.5,0.45,0.4,0.45,0.3,0.4,0.55,0.35,0.55,0.5,0.55,0.5,0.45,0.5,0.5,0.5,0.5,0.45,0.45,0.35,0.55,0.5,0.45,0.5,0.3,0.45,0.35,0.55,0.45,0.3
"477",0.5,0.5,0.55,0.45,0.3,0.3,0.4,0.5,0.5,0.45,0.3,0.5,0.4,0.45,0.4,0.5,0.55,0.5,0.45,0.3,0.55,0.35,0.4,0.45,0.55,0.45,0.45,0.4,0.4,0.55,0.45,0.55,0.4,0.45,0.35,0.5,0.45,0.5,0.55,0.4,0.5
