"","TP.Date","TP.Flow","TP.concentrations.TP","lnC","lnQ"
"73",2010-11-16,165,0.064,-2.74887219562247,5.10594547390058
"74",2010-11-29,310,0.088,-2.43041846450393,5.73657229747919
"75",2010-12-09,221,0.028,-3.57555076880693,5.39816270151775
"76",2010-12-16,207,0.01,-4.60517018598809,5.33271879326537
"77",2011-01-06,243,0.052,-2.95651156040071,5.49306144334055
"78",2011-01-12,202,0.034,-3.38139475436598,5.30826769740121
"79",2011-01-21,197,0.036,-3.32423634052603,5.28320372873799
"80",2011-01-26,190,0.044,-3.12356564506388,5.24702407216049
"81",2011-02-06,229,0.048,-3.03655426807425,5.43372200355424
"82",2011-02-12,287,0.044,-3.12356564506388,5.65948221575962
"83",2011-02-14,640,0.048,-3.03655426807425,6.46146817635372
"84",2011-02-25,672,0.076,-2.57702193869581,6.51025834052315
"85",2011-02-28,1930,1.08,0.0769610411361284,7.56527528189893
"86",2011-03-05,793,0.098,-2.32278780031156,6.67582322163485
"87",2011-03-14,595,0.08,-2.52572864430826,6.38856140554563
"88",2011-03-31,295,0.041,-3.19418321227783,5.68697535633982
"89",2011-04-07,261,0.05,-2.99573227355399,5.56452040732269
"90",2011-04-11,383,0.088,-2.43041846450393,5.94803498918065
"91",2011-04-20,329,0.072,-2.63108915996608,5.79605775076537
"92",2011-04-23,2990,0.535,-0.62548853208613,8.00302866638473
"93",2011-04-25,53100,0.94,-0.0618754037180875,10.87993220723
"94",2011-04-26,47500,1.098,0.093490343087339,10.7684849900227
"95",2011-05-11,995,0.088,-2.43041846450393,6.90274273715859
"96",2011-05-18,739,0.066,-2.71810053695571,6.6052979209482
"97",2011-05-24,33600,1.128,0.120446153075867,10.4222813459513
"98",2011-06-09,636,0.062,-2.78062089393705,6.45519856334012
"99",2011-06-16,535,0.059,-2.83021783507642,6.28226674689601
"100",2011-07-14,317,0.086,-2.45340798272863,5.75890177387728
"101",2011-07-20,248,0.084,-2.47693848013882,5.51342874616498
"102",2011-07-28,208,0.074,-2.60369018577797,5.33753807970132
