"","NO3test5to30stats.X.5.30.","NO3test5to30stats.NO3test5to30modes","NO3test5to30stats.NO3test5to30stdevs","TNtest5to30stats.X.5.30.","TNtest5to30stats.TNtest5to30modes","TNtest5to30stats.TNtest5to30stdevs","SRPtest5to30stats.X.5.30.","SRPtest5to30stats.SRPtest5to30modes","SRPtest5to30stats.SRPtest5to30stdevs","TPtest5to30stats.X.5.30.","TPtest5to30stats.TPtest5to30modes","TPtest5to30stats.TPtest5to30stdevs","TSStest5to30stats.X.5.30.","TSStest5to30stats.TSStest5to30modes","TSStest5to30stats.TSStest5to30stdevs","Cltest5to30stats.X.5.30.","Cltest5to30stats.Cltest5to30modes","Cltest5to30stats.Cltest5to30stdevs","SO4test5to30stats.X.5.30.","SO4test5to30stats.SO4test5to30modes","SO4test5to30stats.SO4test5to30stdevs"
"14",18,0.7,0.0564692439315782,18,0.65,0.0553375541378473,18,0.55,0.0517943342579523,18,0.5,0.103356920722439,18,0.2,0.138287632808415,18,0.9,0.0192724822331886,18,0.3,0.0565685424949238
"15",19,0.7,0.0502646059593119,19,0.65,0.0640869944461656,19,0.5,0.0623436820686552,19,0.5,0.0835683760126267,19,0.5,0.117893933651553,19,0.9,0.0137023757808935,19,0.25,0.0612872127688933
"16",20,0.65,0.0454568645048495,20,0.65,0.0524987852143227,20,0.5,0.0546323519313513,20,0.5,0.0833054375078083,20,0.5,0.120631839977373,20,0.9,0.00989743318610786,20,0.3,0.0582482372510718
"17",21,0.65,0.0552268050859363,21,0.65,0.0460811174751123,21,0.5,0.0636396103067893,21,0.45,0.0699562545525445,21,0.2,0.155511007550552,21,0.9,0.00707106781186547,21,0.25,0.0511201066716654
"18",22,0.65,0.0533471495709652,22,0.65,0.0422456373789178,22,0.5,0.0492908899973889,22,0.5,0.0908912784033535,22,0.5,0.134558992449333,22,0.9,0.00989743318610786,22,0.3,0.0632858755238191
"19",23,0.65,0.051863242459061,23,0.65,0.046246897303539,23,0.5,0.0462910049886276,23,0.55,0.0730180296437889,23,0.2,0.154948971192033,23,0.9,0.00989743318610786,23,0.3,0.0574633867460536
"20",24,0.65,0.0563878695885444,24,0.65,0.0479050932488777,24,0.5,0.058562717122199,24,0.5,0.0795138288575757,24,0.2,0.15708115671817,24,0.9,0.0170233932683043,24,0.25,0.0653795824085652
"21",25,0.7,0.0575343730445779,25,0.65,0.0524890659167824,25,0.5,0.046740708997094,25,0.5,0.0846119593997763,25,0.5,0.140465697751793,25,0.9,0.00707106781186547,25,0.25,0.0615778916064352
"22",26,0.7,0.0512695955569324,26,0.65,0.0560702911622582,26,0.5,0.0557783514438704,26,0.45,0.0701674382299589,26,0.5,0.143938762489257,26,0.9,0.0119948968741047,26,0.2,0.0726748419541537
"23",27,0.7,0.0409579176766613,27,0.65,0.0474234076362795,27,0.5,0.0547349830304801,27,0.45,0.0757614408414158,27,0.55,0.146091947563366,27,0.9,0.00989743318610786,27,0.25,0.0659003576838331
"24",28,0.65,0.0450509915177756,28,0.65,0.0503457433905888,28,0.5,0.0507997268191273,28,0.45,0.0725342987130635,28,0.5,0.152800389998434,28,0.9,0,28,0.2,0.0809950867746474
"25",29,0.7,0.0494871659305393,29,0.65,0.0388087934491603,29,0.5,0.0507595371555425,29,0.5,0.070775586705229,29,0.5,0.141885984695675,29,0.9,0.00707106781186547,29,0.35,0.0642777772878094
"26",30,0.65,0.0476059505798618,30,0.65,0.043985155195259,30,0.5,0.0444467119602973,30,0.5,0.080584598720974,30,0.2,0.160359926797342,30,0.9,0.00707106781186547,30,0.3,0.0685118789044674
