"","TP.Date","TP.Flow","TP.concentrations.TP","lnC","lnQ"
"57",2010-06-24,14,0.06,-2.81341071676004,2.63905732961526
"58",2010-07-08,14,0.012,-4.42284862919414,2.63905732961526
"59",2010-07-13,1480,0.568,-0.565633860260986,7.29979736675816
"60",2010-07-22,231,0.034,-3.38139475436598,5.44241771052179
"61",2010-07-28,108,0.014,-4.26869794936688,4.68213122712422
"62",2010-08-05,58,0.018,-4.01738352108597,4.06044301054642
"63",2010-08-10,42,0.018,-4.01738352108597,3.73766961828337
"64",2010-08-19,27,0.024,-3.72970144863419,3.29583686600433
"65",2010-08-26,16,0.042,-3.17008566069877,2.77258872223978
"66",2010-09-01,17,0.024,-3.72970144863419,2.83321334405622
"67",2010-09-09,679,0.11,-2.20727491318972,6.5206211275587
"68",2010-09-16,236,0.052,-2.95651156040071,5.46383180502561
"69",2010-09-22,80,0.01,-4.60517018598809,4.38202663467388
"70",2010-09-29,60,0.012,-4.42284862919414,4.0943445622221
"71",2010-10-06,36,0.02,-3.91202300542815,3.58351893845611
"72",2010-10-14,21,0.022,-3.81671282562382,3.04452243772342
"73",2010-10-20,24,0.026,-3.64965874096066,3.17805383034795
"74",2010-10-27,35,0.022,-3.81671282562382,3.55534806148941
"75",2010-11-02,22,0.028,-3.57555076880693,3.09104245335832
"76",2010-11-10,19,0.024,-3.72970144863419,2.94443897916644
"77",2010-11-17,20,0.0165,-4.1043948980756,2.99573227355399
"78",2010-11-30,100,0.044,-3.12356564506388,4.60517018598809
"79",2010-12-07,44,0.016,-4.13516655674236,3.78418963391826
"80",2010-12-14,24,0.012,-4.42284862919414,3.17805383034795
"81",2010-12-19,20,0.006,-5.11599580975408,2.99573227355399
"82",2011-01-05,67,0.018,-4.01738352108597,4.20469261939097
"83",2011-01-11,39,0.016,-4.13516655674236,3.66356164612965
"84",2011-01-18,28,0.01,-4.60517018598809,3.3322045101752
"85",2011-01-25,22,0.02,-3.91202300542815,3.09104245335832
"86",2011-02-04,99,0.028,-3.57555076880693,4.59511985013459
"87",2011-02-08,195,0.034,-3.38139475436598,5.27299955856375
"88",2011-02-14,533,0.056,-2.88240358824699,6.27852142416584
"89",2011-02-25,992,0.32,-1.13943428318836,6.89972310728487
"90",2011-02-28,780,0.166,-1.79576749062559,6.65929391968364
"91",2011-03-05,955,0.194,-1.63989711991881,6.86171134048073
"92",2011-03-14,359,0.078,-2.55104645229255,5.88332238848828
"93",2011-03-29,144,0.022,-3.81671282562382,4.969813299576
"94",2011-04-06,246,0.03,-3.50655789731998,5.50533153593236
"95",2011-04-11,1020,0.14,-1.96611285637283,6.92755790627832
