"","X.5.30.","NO3test5to30modes","NO3test5to30stdevs","X.5.30..1","TNtest5to30modes","TNtest5to30stdevs","X.5.30..2","SRPtest5to30modes","SRPtest5to30stdevs","X.5.30..3","TPtest5to30modes","TPtest5to30stdevs","X.5.30..4","TSStest5to30modes","TSStest5to30stdevs","X.5.30..5","Cltest5to30modes","Cltest5to30stdevs","X.5.30..6","SO4test5to30modes","SO4test5to30stdevs"
"folds.20",20,0.5,0.0762715342626298,20,0.7,0.0845154254728516,20,0.8,0.067005939426049,20,0.6,0.114913454568281,20,0.25,0.137232113811689,20,0.6,0.101141444703616,20,0.5,0.0765053019371194
"folds.21",21,0.5,0.0840614449709987,21,0.7,0.0948952161113316,21,0.8,0.0653795824085652,21,0.6,0.106445348629698,21,0.25,0.121655250605964,21,0.6,0.108142951500242,21,0.6,0.0898070494028669
"folds.22",22,0.5,0.0775912892228587,22,0.65,0.0818410604994429,22,0.75,0.0602799591024062,22,0.6,0.106085256433932,22,0.25,0.131614774928926,22,0.65,0.104764069241709,22,0.55,0.0921677707183138
"folds.23",23,0.55,0.0782460796435952,23,0.65,0.0888072896437987,23,0.8,0.064712866588035,23,0.6,0.128924119432434,23,0.25,0.133874751090681,23,0.6,0.099979589753844,23,0.6,0.0881557064030943
"folds.24",24,0.5,0.0882713811758595,24,0.65,0.0959432230061943,24,0.75,0.0589015089373952,24,0.6,0.119948968741048,24,0.25,0.108871765047187,24,0.6,0.0960229564388918,24,0.65,0.0968061391205567
"folds.25",25,0.5,0.0769309258162072,25,0.65,0.0799489633121898,25,0.8,0.0565053726901889,25,0.6,0.103509833901353,25,0.25,0.120055259385512,25,0.65,0.109264703862703,25,0.55,0.0805656026262487
"folds.26",26,0.55,0.0832012558774916,26,0.65,0.0772552091896642,26,0.8,0.0615778916064352,26,0.6,0.119304959953003,26,0.25,0.126636229783887,26,0.8,0.109026302761662,26,0.6,0.093917028079392
"folds.27",27,0.45,0.0816663195883226,27,0.65,0.078010988237006,27,0.8,0.0649096703590648,27,0.6,0.101644639076841,27,0.25,0.102145354614822,27,0.65,0.100635734311467,27,0.65,0.102065405200663
"folds.28",28,0.5,0.0689646463702932,28,0.65,0.0517154695997084,28,0.8,0.048329228068678,28,0.6,0.0893057120462159,28,0.25,0.107646435621626,28,0.65,0.104608112222987,28,0.65,0.0845697393653695
"folds.29",29,0.5,0.0851229602830337,29,0.7,0.0797700777617927,29,0.8,0.0640551420612725,29,0.6,0.120101997468478,29,0.25,0.100310741687813,29,0.6,0.116163150572892,29,0.55,0.08315218406203
"folds.30",30,0.5,0.0786103799554149,30,0.65,0.0846662113652121,30,0.8,0.0490834358360271,30,0.6,0.0840614449709987,30,0.25,0.116009324044691,30,0.65,0.0959166304662544,30,0.6,0.079179465488863
