"","NO3test5to30stats.X.5.30.","NO3test5to30stats.NO3test5to30modes","NO3test5to30stats.NO3test5to30stdevs","TNtest5to30stats.X.5.30.","TNtest5to30stats.TNtest5to30modes","TNtest5to30stats.TNtest5to30stdevs","SRPtest5to30stats.X.5.30.","SRPtest5to30stats.SRPtest5to30modes","SRPtest5to30stats.SRPtest5to30stdevs","TPtest5to30stats.X.5.30.","TPtest5to30stats.TPtest5to30modes","TPtest5to30stats.TPtest5to30stdevs","TSStest5to30stats.X.5.30.","TSStest5to30stats.TSStest5to30modes","TSStest5to30stats.TSStest5to30stdevs","Cltest5to30stats.X.5.30.","Cltest5to30stats.Cltest5to30modes","Cltest5to30stats.Cltest5to30stdevs","SO4test5to30stats.X.5.30.","SO4test5to30stats.SO4test5to30modes","SO4test5to30stats.SO4test5to30stdevs"
"11",15,0.55,0.0941178158761991,15,0.7,0.0854818276427385,15,0.8,0.063887656499994,15,0.6,0.129850777778941,15,0.25,0.116605912266532,15,0.65,0.106445348629698,15,0.65,0.104608112222987
"12",16,0.5,0.0885022771527631,16,0.7,0.0873884128124407,16,0.75,0.0788954358370519,16,0.6,0.110974348939063,16,0.25,0.122261846802972,16,0.7,0.0976718788514245,16,0.55,0.095276182860189
"13",17,0.55,0.0745120179321868,17,0.65,0.0959857557459566,17,0.8,0.0794689003475509,17,0.6,0.112195165234696,17,0.25,0.115709876459203,17,0.6,0.0980212388480482,17,0.55,0.0998161575403624
"14",18,0.5,0.0839156525011507,18,0.65,0.0673174023047623,18,0.8,0.0629949787438553,18,0.6,0.117369119465393,18,0.25,0.12749149631506,18,0.65,0.0987730856507966,18,0.65,0.102638656838206
"15",19,0.55,0.0765586343255672,19,0.65,0.0659622650320868,19,0.75,0.067943554003395,19,0.6,0.0993293840241257,19,0.25,0.131955465585777,19,0.6,0.111158096641583,19,0.5,0.0677706215321738
"16",20,0.5,0.0844489943875072,20,0.65,0.0811649869219531,20,0.8,0.0678834535458099,20,0.6,0.102936477340868,20,0.25,0.113051369938174,20,0.65,0.0992266011075001,20,0.65,0.0920348203848158
"17",21,0.5,0.0987885806835455,21,0.7,0.0892142571199771,21,0.8,0.0535380848612672,21,0.6,0.0955969429961235,21,0.25,0.111762320692309,21,0.65,0.0839095723176481,21,0.6,0.102020406122041
"18",22,0.55,0.0910539198855854,22,0.65,0.074120695834702,22,0.75,0.0660936256150226,22,0.6,0.109432674298317,22,0.25,0.115723103720449,22,0.6,0.115687827663016,22,0.5,0.0914787808562115
"19",23,0.5,0.0874876084520149,23,0.65,0.0735679610833356,23,0.8,0.0651215504002371,23,0.6,0.102325012402957,23,0.3,0.0952976004580453,23,0.65,0.0943560343830207,23,0.55,0.0955168539460712
"20",24,0.5,0.0643333157097012,24,0.65,0.070283681736,24,0.75,0.0659003576838331,24,0.6,0.120800898766761,24,0.25,0.122291054623044,24,0.6,0.104729973488676,24,0.65,0.108796758655199
"21",25,0.55,0.0804388473516702,25,0.65,0.0842796607995654,25,0.8,0.0539841246505463,25,0.6,0.107684345971673,25,0.25,0.0943560343830208,25,0.65,0.0924110162175882,25,0.65,0.0931095470674304
"22",26,0.5,0.0901472717959057,26,0.65,0.0792889317236495,26,0.7,0.0696639162299235,26,0.6,0.11123151073141,26,0.25,0.116972873185301,26,0.65,0.097567349841543,26,0.55,0.0961291648072041
"23",27,0.55,0.0963624111659432,27,0.65,0.0725342987130634,27,0.8,0.0675821495572279,27,0.6,0.0813721609116323,27,0.25,0.108180687853654,27,0.65,0.119522860933439,27,0.55,0.0869494340500998
"24",28,0.5,0.065807387464463,28,0.65,0.0735124590301063,28,0.8,0.0546230122694434,28,0.6,0.108721700516803,28,0.25,0.117038280847223,28,0.7,0.113699388830407,28,0.55,0.0808374534331149
"25",29,0.5,0.0728431359084684,29,0.65,0.0765053019371193,29,0.8,0.0616193052176849,29,0.6,0.109026302761662,29,0.25,0.109842187352806,29,0.65,0.0955595764591975,29,0.5,0.0870198194642567
"26",30,0.55,0.0673174023047624,30,0.65,0.0901019830355513,30,0.8,0.0588061498935794,30,0.6,0.0895795166090908,30,0.25,0.107991874221902,30,0.65,0.0846662113652121,30,0.65,0.0834461820943442
