"","id","folds","span","const","id.1","folds.1","span.1","const.1","id.2","folds.2","span.2","const.2","id.3","folds.3","span.3","const.3","id.4","folds.4","span.4","const.4","id.5","folds.5","span.5","const.5","id.6","folds.6","span.6","const.6","REALID"
"61",11,"folds.6",0.35,"NO3",11,"folds.6",0.5,"TN",11,"folds.6",0.9,"SRP",11,"folds.6",0.35,"TP",11,"folds.6",0.4,"TSS",11,"folds.6",0.7,"Cl",11,"folds.6",0.6,"SO4",61
"62",12,"folds.6",0.65,"NO3",12,"folds.6",0.65,"TN",12,"folds.6",0.85,"SRP",12,"folds.6",0.75,"TP",12,"folds.6",0.3,"TSS",12,"folds.6",0.5,"Cl",12,"folds.6",0.65,"SO4",62
"63",13,"folds.6",0.65,"NO3",13,"folds.6",0.45,"TN",13,"folds.6",0.85,"SRP",13,"folds.6",0.6,"TP",13,"folds.6",0.4,"TSS",13,"folds.6",0.75,"Cl",13,"folds.6",0.65,"SO4",63
"64",14,"folds.6",0.6,"NO3",14,"folds.6",0.5,"TN",14,"folds.6",0.85,"SRP",14,"folds.6",0.6,"TP",14,"folds.6",0.3,"TSS",14,"folds.6",0.75,"Cl",14,"folds.6",0.5,"SO4",64
"65",15,"folds.6",0.5,"NO3",15,"folds.6",0.7,"TN",15,"folds.6",0.8,"SRP",15,"folds.6",0.75,"TP",15,"folds.6",0.2,"TSS",15,"folds.6",0.8,"Cl",15,"folds.6",0.55,"SO4",65
"66",16,"folds.6",0.5,"NO3",16,"folds.6",0.75,"TN",16,"folds.6",0.8,"SRP",16,"folds.6",0.45,"TP",16,"folds.6",0.35,"TSS",16,"folds.6",0.65,"Cl",16,"folds.6",0.65,"SO4",66
"67",17,"folds.6",0.6,"NO3",17,"folds.6",0.75,"TN",17,"folds.6",0.75,"SRP",17,"folds.6",0.75,"TP",17,"folds.6",0.3,"TSS",17,"folds.6",0.65,"Cl",17,"folds.6",0.55,"SO4",67
"68",18,"folds.6",0.6,"NO3",18,"folds.6",0.6,"TN",18,"folds.6",0.8,"SRP",18,"folds.6",0.7,"TP",18,"folds.6",0.3,"TSS",18,"folds.6",0.65,"Cl",18,"folds.6",0.5,"SO4",68
"69",19,"folds.6",0.55,"NO3",19,"folds.6",0.3,"TN",19,"folds.6",0.75,"SRP",19,"folds.6",0.6,"TP",19,"folds.6",0.5,"TSS",19,"folds.6",0.45,"Cl",19,"folds.6",0.65,"SO4",69
"70",20,"folds.6",0.45,"NO3",20,"folds.6",0.5,"TN",20,"folds.6",0.75,"SRP",20,"folds.6",0.7,"TP",20,"folds.6",0.55,"TSS",20,"folds.6",0.7,"Cl",20,"folds.6",0.4,"SO4",70
"71",21,"folds.6",0.5,"NO3",21,"folds.6",0.55,"TN",21,"folds.6",0.85,"SRP",21,"folds.6",0.5,"TP",21,"folds.6",0.3,"TSS",21,"folds.6",0.7,"Cl",21,"folds.6",0.35,"SO4",71
"72",22,"folds.6",0.65,"NO3",22,"folds.6",0.7,"TN",22,"folds.6",0.8,"SRP",22,"folds.6",0.5,"TP",22,"folds.6",0.3,"TSS",22,"folds.6",0.55,"Cl",22,"folds.6",0.45,"SO4",72
"73",23,"folds.6",0.45,"NO3",23,"folds.6",0.6,"TN",23,"folds.6",0.75,"SRP",23,"folds.6",0.4,"TP",23,"folds.6",0.3,"TSS",23,"folds.6",0.55,"Cl",23,"folds.6",0.6,"SO4",73
"74",24,"folds.6",0.5,"NO3",24,"folds.6",0.7,"TN",24,"folds.6",0.7,"SRP",24,"folds.6",0.65,"TP",24,"folds.6",0.25,"TSS",24,"folds.6",0.5,"Cl",24,"folds.6",0.7,"SO4",74
"75",25,"folds.6",0.5,"NO3",25,"folds.6",0.5,"TN",25,"folds.6",0.8,"SRP",25,"folds.6",0.65,"TP",25,"folds.6",0.25,"TSS",25,"folds.6",0.65,"Cl",25,"folds.6",0.6,"SO4",75
