"","X.5.45.","NO3test5to45modes","NO3test5to45stdevs","X.5.45..1","TNtest5to45modes","TNtest5to45stdevs","X.5.45..2","SRPtest5to45modes","SRPtest5to45stdevs","X.5.45..3","TPtest5to45modes","TPtest5to45stdevs","X.5.45..4","TSStest5to45modes","TSStest5to45stdevs","X.5.45..5","Cltest5to45modes","Cltest5to45stdevs","X.5.45..6","SO4test5to45modes","SO4test5to45stdevs"
"folds.33",33,0.9,0.077290904276531,33,0.9,0.146231233235494,33,0.8,0.0746177445907326,33,0.75,0.0926194815811899,33,0.9,0.0669595480949587,33,0.85,0.0426311495847217,33,0.9,0.0525357021462548
"folds.34",34,0.9,0.0651321902149943,34,0.9,0.125165915913664,34,0.8,0.0652261024777998,34,0.75,0.0858134106153662,34,0.9,0.0664777917563211,34,0.85,0.0378643791869246,34,0.9,0.0498163795520276
"folds.35",35,0.9,0.0630451004018923,35,0.9,0.105760225156839,35,0.8,0.0665158767653398,35,0.75,0.0830641297411202,35,0.9,0.0657215285832528,35,0.85,0.0320989149402334,35,0.9,0.0465098179222749
"folds.36",36,0.9,0.0502247202333923,36,0.9,0.100072233671243,36,0.8,0.0614210879914224,36,0.75,0.0823199494294917,36,0.9,0.0630187977421727,36,0.85,0.0282054169539389,36,0.9,0.0450833673321992
"folds.37",37,0.9,0.0499278508479014,37,0.9,0.0880439051225537,37,0.8,0.0593791704715205,37,0.75,0.0784111491326859,37,0.9,0.0607879319657502,37,0.85,0.0280753579803664,37,0.9,0.041777300569123
"folds.38",38,0.9,0.0503832906425928,38,0.9,0.0918826421035003,38,0.8,0.0583381593885241,38,0.75,0.0756642920080872,38,0.9,0.0616959998411274,38,0.85,0.0257818677505084,38,0.9,0.0421632273164393
"folds.39",39,0.9,0.100245494458151,39,0.9,0.180393567899023,39,0.8,0.0890804430013981,39,0.75,0.104389629248765,39,0.9,0.0805635804224868,39,0.85,0.0672510237855172,39,0.9,0.0669197710378312
"folds.40",40,0.9,0.0920769007713425,40,0.9,0.168515266058879,40,0.8,0.0817946689452795,40,0.75,0.100038781268855,40,0.9,0.0797433320033657,40,0.85,0.0551813599187487,40,0.9,0.0637908047195422
"folds.41",41,0.9,0.0877775734592977,41,0.9,0.159799549110427,41,0.75,0.0762179058303833,41,0.75,0.0983354837653599,41,0.9,0.0769971984462329,41,0.85,0.05209271687243,41,0.9,0.0599043072410159
"folds.42",42,0.9,0.0811080514869887,42,0.9,0.151229123345167,42,0.8,0.0743545970744655,42,0.75,0.0935834807424252,42,0.9,0.0721228931180087,42,0.85,0.0522360613571325,42,0.9,0.0571810035515919
"folds.43",43,0.9,0.0774200966892407,43,0.9,0.145417136691807,43,0.8,0.0713055010113138,43,0.75,0.090847293469485,43,0.9,0.0723316795869685,43,0.85,0.0438104651522539,43,0.9,0.0542388408048315
"folds.44",44,0.9,0.0633783426283325,44,0.9,0.126023338639642,44,0.8,0.0658161778688893,44,0.75,0.0871630362877229,44,0.9,0.0659935803897065,44,0.85,0.0418751839522053,44,0.9,0.0514453508504328
"folds.45",45,0.9,0.0541177071412511,45,0.9,0.119044031691981,45,0.8,0.0649978632127413,45,0.75,0.0832728759673393,45,0.9,0.0712417390676659,45,0.85,0.0375679231372836,45,0.9,0.0503122382857424
