id,folds,span,const
38,16,0.8,NO3
39,16,0.75,NO3
40,16,0.85,NO3
41,16,0.85,NO3
42,16,0.9,NO3
43,16,0.75,NO3
44,16,0.65,NO3
45,16,0.9,NO3
46,16,0.85,NO3
47,16,0.8,NO3
48,16,0.8,NO3
49,16,0.9,NO3
50,16,0.8,NO3
1,17,0.9,NO3
2,17,0.7,NO3
3,17,0.8,NO3
4,17,0.8,NO3
5,17,0.85,NO3
6,17,0.9,NO3
7,17,0.6,NO3
8,17,0.9,NO3
9,17,0.8,NO3
10,17,0.85,NO3
11,17,0.9,NO3
12,17,0.9,NO3
13,17,0.85,NO3
14,17,0.55,NO3
15,17,0.9,NO3
16,17,0.9,NO3
17,17,0.85,NO3
18,17,0.9,NO3
19,17,0.9,NO3
20,17,0.85,NO3
21,17,0.8,NO3
22,17,0.85,NO3
23,17,0.85,NO3
24,17,0.8,NO3
25,17,0.85,NO3
26,17,0.9,NO3
27,17,0.9,NO3
28,17,0.9,NO3
29,17,0.75,NO3
30,17,0.85,NO3
31,17,0.9,NO3
32,17,0.75,NO3
33,17,0.8,NO3
34,17,0.9,NO3
35,17,0.85,NO3
36,17,0.9,NO3
37,17,0.8,NO3
38,17,0.85,NO3
39,17,0.8,NO3
40,17,0.9,NO3
41,17,0.85,NO3
42,17,0.65,NO3
43,17,0.9,NO3
44,17,0.9,NO3
45,17,0.9,NO3
46,17,0.85,NO3
47,17,0.85,NO3
48,17,0.9,NO3
49,17,0.75,NO3
50,17,0.85,NO3
1,18,0.9,NO3
2,18,0.75,NO3
3,18,0.75,NO3
4,18,0.85,NO3
5,18,0.85,NO3
6,18,0.9,NO3
7,18,0.9,NO3
8,18,0.8,NO3
9,18,0.85,NO3
10,18,0.9,NO3
11,18,0.9,NO3
12,18,0.85,NO3
13,18,0.9,NO3
14,18,0.9,NO3
15,18,0.9,NO3
16,18,0.85,NO3
17,18,0.85,NO3
18,18,0.85,NO3
19,18,0.85,NO3
20,18,0.9,NO3
21,18,0.9,NO3
22,18,0.85,NO3
23,18,0.9,NO3
24,18,0.9,NO3
25,18,0.85,NO3
26,18,0.9,NO3
27,18,0.75,NO3
28,18,0.85,NO3
29,18,0.65,NO3
30,18,0.85,NO3
31,18,0.9,NO3
32,18,0.85,NO3
33,18,0.85,NO3
34,18,0.9,NO3
35,18,0.85,NO3
36,18,0.9,NO3
37,18,0.9,NO3
38,18,0.9,NO3
39,18,0.85,NO3
40,18,0.9,NO3
41,18,0.8,NO3
42,18,0.85,NO3
43,18,0.9,NO3
44,18,0.85,NO3
45,18,0.65,NO3
46,18,0.85,NO3
47,18,0.55,NO3
48,18,0.75,NO3
49,18,0.8,NO3
50,18,0.9,NO3
1,19,0.85,NO3
2,19,0.85,NO3
3,19,0.75,NO3
4,19,0.9,NO3
5,19,0.8,NO3
6,19,0.9,NO3
7,19,0.85,NO3
8,19,0.75,NO3
9,19,0.9,NO3
10,19,0.6,NO3
11,19,0.9,NO3
12,19,0.85,NO3
13,19,0.9,NO3
14,19,0.9,NO3
15,19,0.9,NO3
16,19,0.75,NO3
17,19,0.85,NO3
18,19,0.85,NO3
19,19,0.6,NO3
20,19,0.6,NO3
21,19,0.9,NO3
22,19,0.9,NO3
23,19,0.85,NO3
24,19,0.9,NO3
25,19,0.9,NO3
26,19,0.9,NO3
27,19,0.9,NO3
28,19,0.7,NO3
29,19,0.85,NO3
30,19,0.9,NO3
31,19,0.9,NO3
32,19,0.85,NO3
33,19,0.85,NO3
34,19,0.9,NO3
35,19,0.85,NO3
36,19,0.9,NO3
37,19,0.8,NO3
38,19,0.9,NO3
39,19,0.9,NO3
40,19,0.85,NO3
41,19,0.9,NO3
42,19,0.9,NO3
43,19,0.85,NO3
44,19,0.9,NO3
45,19,0.9,NO3
46,19,0.85,NO3
47,19,0.8,NO3
48,19,0.9,NO3
49,19,0.8,NO3
50,19,0.9,NO3
1,20,0.8,NO3
