"","TP.Date","TP.Flow","TP.concentrations.TP","lnC","lnQ"
"77",2013-11-07,62,0.14,-1.96611285637283,4.12713438504509
"78",2013-11-14,40,0.132,-2.02495335639577,3.68887945411394
"79",2013-11-21,95,0.166,-1.79576749062559,4.55387689160054
"80",2013-12-03,34,0.138,-1.98050159382493,3.52636052461616
"81",2013-12-13,48,0.1,-2.30258509299405,3.87120101090789
"82",2013-12-20,54,0.099,-2.31263542884755,3.98898404656427
"83",2013-12-21,577,0.24,-1.42711635564015,6.3578422665081
"84",2014-01-08,50,0.084,-2.47693848013882,3.91202300542815
"85",2014-01-10,144,0.174,-1.74869997976761,4.969813299576
"86",2014-01-23,49,0.076,-2.57702193869581,3.89182029811063
"87",2014-01-29,44,0.08,-2.52572864430826,3.78418963391826
"88",2014-02-06,42,0.08,-2.52572864430826,3.73766961828337
"89",2014-02-13,41,0.08,-2.52572864430826,3.71357206670431
"90",2014-02-20,42,0.014,-4.26869794936688,3.73766961828337
"91",2014-02-26,38,0.098,-2.32278780031156,3.63758615972639
"92",2014-03-06,52,0.056,-2.88240358824699,3.95124371858143
"93",2014-03-13,38,0.101,-2.29263476214088,3.63758615972639
"94",2014-03-16,334,0.134,-2.00991547903123,5.8111409929767
"95",2014-03-28,97,0.096,-2.3434070875143,4.57471097850338
"96",2014-04-03,125,0.132,-2.02495335639577,4.8283137373023
"97",2014-04-08,68,0.096,-2.3434070875143,4.21950770517611
"98",2014-04-15,52,0.104,-2.26336437984076,3.95124371858143
"99",2014-04-24,42,0.104,-2.26336437984076,3.73766961828337
"100",2014-04-29,37,0.104,-2.26336437984076,3.61091791264422
"101",2014-05-08,141,0.438,-0.825536368605691,4.94875989037817
"102",2014-05-12,163,0.33,-1.10866262452161,5.09375020080676
"103",2014-05-15,73,0.092,-2.3859667019331,4.29045944114839
"104",2014-05-21,48,0.096,-2.3434070875143,3.87120101090789
"105",2014-05-29,49,0.1,-2.30258509299405,3.89182029811063
"106",2014-06-03,60,0.1,-2.30258509299405,4.0943445622221
"107",2014-06-16,54,0.12,-2.12026353620009,3.98898404656427
"108",2014-06-19,52,0.466,-0.763569644856491,3.95124371858143
"109",2014-07-02,42,0.11,-2.20727491318972,3.73766961828337
"110",2014-07-07,35,0.11,-2.20727491318972,3.55534806148941
"111",2014-07-22,34,0.107,-2.23492644452023,3.52636052461616
"112",2014-07-31,49,0.116,-2.15416508787577,3.89182029811063
"113",2014-08-06,34,0.126,-2.07147337203066,3.52636052461616
"114",2014-08-13,35,0.32,-1.13943428318836,3.55534806148941
"115",2014-08-21,34,0.282,-1.26584820804402,3.52636052461616
"116",2014-08-28,30,0.227,-1.48280526150073,3.40119738166216
"117",2014-08-30,34,0.196,-1.62964061975162,3.52636052461616
"118",2014-09-02,80,0.286,-1.25176346816228,4.38202663467388
"119",2014-09-06,52,0.206,-1.57987911019256,3.95124371858143
"120",2014-09-11,34,0.174,-1.74869997976761,3.52636052461616
"121",2014-09-17,61,0.536,-0.623621117911335,4.11087386417331
"122",2014-09-24,34,0.18,-1.71479842809193,3.52636052461616
"123",2014-10-01,33,0.168,-1.78379129957888,3.49650756146648
"124",2014-10-09,33,0.334,-1.09661428600544,3.49650756146648
"125",2014-10-10,451,0.77,-0.261364764134408,6.11146733950268
"126",2014-10-13,484,0.328,-1.11474167059799,6.18208490671663
"127",2014-10-23,46,0.166,-1.79576749062559,3.8286413964891
"128",2014-10-29,44,0.186,-1.68200860526894,3.78418963391826
"129",2014-11-06,47,0.154,-1.87080267656851,3.85014760171006
"130",2014-11-13,38,0.108,-2.22562405185792,3.63758615972639
"131",2014-11-19,34,0.16,-1.83258146374831,3.52636052461616
"132",2014-12-02,34,0.21,-1.56064774826467,3.52636052461616
"133",2014-12-11,38,0.206,-1.57987911019256,3.63758615972639
"134",2014-12-17,50,0.206,-1.57987911019256,3.91202300542815
"135",2015-01-08,41,0.126,-2.07147337203066,3.71357206670431
"136",2015-01-15,40,0.098,-2.32278780031156,3.68887945411394
"137",2015-01-21,38,0.098,-2.32278780031156,3.63758615972639
"138",2015-01-29,36,0.092,-2.3859667019331,3.58351893845611
"139",2015-02-04,37,0.078,-2.55104645229255,3.61091791264422
"140",2015-02-11,36,0.09,-2.40794560865187,3.58351893845611
"141",2015-02-18,36,0.086,-2.45340798272863,3.58351893845611
"142",2015-02-25,37,0.08,-2.52572864430826,3.61091791264422
"143",2015-03-06,49,0.082,-2.50103603171788,3.89182029811063
"144",2015-03-11,52,0.08,-2.52572864430826,3.95124371858143
"145",2015-03-14,120,0.176,-1.73727128394399,4.78749174278205
"146",2015-03-19,58,0.106,-2.24431618487007,4.06044301054642
"147",2015-03-26,145,0.19,-1.66073120682165,4.97673374242057
"148",2015-04-01,60,0.104,-2.26336437984076,4.0943445622221
"149",2015-04-14,57,0.102,-2.28278246569787,4.04305126783455
"150",2015-04-22,54,0.104,-2.26336437984076,3.98898404656427
"151",2015-04-29,51,0.234,-1.45243416362444,3.93182563272433
"152",2015-05-08,290,0.322,-1.13320373343773,5.66988092298052
"153",2015-05-24,221,0.208,-1.57021719928082,5.39816270151775
"154",2015-06-01,89,0.088,-2.43041846450393,4.48863636973214
"155",2015-06-19,818,0.7,-0.356674943938732,6.70686233660275
