"","TP.Date","TP.Flow","TP.concentrations.TP","lnC","lnQ"
"127",2012-04-18,25,0.03,-3.50655789731998,3.2188758248682
"128",2012-04-25,26,0.028,-3.57555076880693,3.25809653802148
"129",2012-05-01,57,0.034,-3.38139475436598,4.04305126783455
"130",2012-05-09,21,0.034,-3.38139475436598,3.04452243772342
"131",2012-05-17,19,0.026,-3.64965874096066,2.94443897916644
"132",2012-05-23,16,0.036,-3.32423634052603,2.77258872223978
"133",2012-05-31,18,0.036,-3.32423634052603,2.89037175789616
"134",2012-06-06,18,0.036,-3.32423634052603,2.89037175789616
"135",2012-06-13,10,0.026,-3.64965874096066,2.30258509299405
"136",2012-06-20,8.7,0.034,-3.38139475436598,2.16332302566054
"137",2012-06-28,6.1,0.034,-3.38139475436598,1.80828877117927
"138",2012-07-11,5.1,0.036,-3.32423634052603,1.62924053973028
"139",2012-07-18,4.5,0.04,-3.2188758248682,1.50407739677627
"140",2012-07-25,3.9,0.038,-3.27016911925575,1.3609765531356
"141",2012-08-01,3.4,0.032,-3.44201937618241,1.22377543162212
"142",2012-08-16,2.3,0.036,-3.32423634052603,0.832909122935104
"143",2012-08-22,3.1,0.044,-3.12356564506388,1.1314021114911
"144",2012-08-27,9.4,0.044,-3.12356564506388,2.24070968927596
"145",2012-09-06,4.5,0.04,-3.2188758248682,1.50407739677627
"146",2012-09-12,12,0.038,-3.27016911925575,2.484906649788
"147",2012-09-27,13,0.038,-3.27016911925575,2.56494935746154
"148",2012-10-03,10,0.04,-3.2188758248682,2.30258509299405
"149",2012-10-10,11,0.04,-3.2188758248682,2.39789527279837
"150",2012-10-16,14,0.034,-3.38139475436598,2.63905732961526
"151",2012-10-25,13,0.032,-3.44201937618241,2.56494935746154
"152",2012-11-01,12,0.028,-3.57555076880693,2.484906649788
"153",2012-11-08,11,0.03,-3.50655789731998,2.39789527279837
"154",2012-11-15,7.6,0.024,-3.72970144863419,2.02814824729229
"155",2012-11-29,5.1,0.024,-3.72970144863419,1.62924053973028
"156",2012-12-06,5.4,0.026,-3.64965874096066,1.68639895357023
"157",2012-12-13,5,0.014,-4.26869794936688,1.6094379124341
"158",2013-01-03,6.4,0.012,-4.42284862919414,1.85629799036563
"159",2013-01-11,6.8,0.014,-4.26869794936688,1.91692261218206
"160",2013-01-14,8.1,0.016,-4.13516655674236,2.09186406167839
"161",2013-01-24,10,0.016,-4.13516655674236,2.30258509299405
