"","X.5.30.","NO3test5to30modes","NO3test5to30stdevs","X.5.30..1","TNtest5to30modes","TNtest5to30stdevs","X.5.30..2","SRPtest5to30modes","SRPtest5to30stdevs","X.5.30..3","TPtest5to30modes","TPtest5to30stdevs","X.5.30..4","TSStest5to30modes","TSStest5to30stdevs","X.5.30..5","Cltest5to30modes","Cltest5to30stdevs","X.5.30..6","SO4test5to30modes","SO4test5to30stdevs"
"folds.18",18,0.7,0.0905820183083614,18,0.85,0.12981934071813,18,0.45,0.0697005255741026,18,0.4,0.0984004728709395,18,0.35,0.251696286043643,18,0.85,0.0640869944461656,18,0.35,0.224971653543195
"folds.19",19,0.7,0.0740173724781651,19,0.6,0.133630620956212,19,0.45,0.06484675813652,19,0.45,0.0846903121944407,19,0.2,0.2474853118709,19,0.85,0.0673174023047624,19,0.35,0.22160131510698
"folds.20",20,0.75,0.0769043933353987,20,0.55,0.126103294232651,20,0.45,0.0601783064852158,20,0.4,0.0977084375860663,20,0.85,0.273281270966791,20,0.85,0.0633181148919438,20,0.35,0.220398525866399
"folds.21",21,0.75,0.0640869944461656,21,0.75,0.117893933651553,21,0.45,0.0552268050859363,21,0.6,0.110453610171873,21,0.35,0.231369039962267,21,0.85,0.0807111250961459,21,0.35,0.205991876202011
"folds.22",22,0.7,0.0712569366476567,22,0.6,0.122574425537786,22,0.45,0.0642777772878094,22,0.45,0.0994884876941723,22,0.85,0.276353810488346,22,0.85,0.0537283416259757,22,0.35,0.200063765345156
"folds.23",23,0.7,0.0762648446573665,23,0.7,0.129603004500321,23,0.5,0.0594532915619566,23,0.55,0.0939821954479916,23,0.2,0.266810335448312,23,0.85,0.0564330920431534,23,0.4,0.216938343540185
"folds.24",24,0.75,0.0654653670707977,24,0.75,0.126909898940073,24,0.45,0.05886685079439,24,0.45,0.0989176115641245,24,0.85,0.265491458027776,24,0.85,0.0612455746006458,24,0.35,0.218986533925756
"folds.25",25,0.65,0.0603476323868126,25,0.75,0.128924119432434,25,0.45,0.0627271382860004,25,0.45,0.0865495021737885,25,0.85,0.258614834557226,25,0.8,0.0513988009071601,25,0.4,0.190595200916091
"folds.26",26,0.7,0.0727309832077592,26,0.5,0.141857214789221,26,0.5,0.0550417281408814,26,0.45,0.0871838311165738,26,0.2,0.267492132251262,26,0.85,0.0571785602748272,26,0.35,0.18323621422656
"folds.27",27,0.7,0.0666164777066516,27,0.7,0.11836039740331,27,0.45,0.0534617925747549,27,0.6,0.107361681303177,27,0.2,0.271811759593034,27,0.85,0.0668839994898265,27,0.35,0.223435604565958
"folds.28",28,0.7,0.0597272713153339,28,0.6,0.132094585777907,28,0.45,0.0476916113789246,28,0.45,0.0857142857142857,28,0.4,0.243949225228931,28,0.85,0.0581693516328638,28,0.35,0.20658792662828
"folds.29",29,0.7,0.0800764940413801,29,0.7,0.120390521018145,29,0.45,0.0591176619901673,29,0.6,0.0933558039033942,29,0.25,0.256117001324291,29,0.8,0.0621141148637419,29,0.35,0.21247088636098
"folds.30",30,0.7,0.0702836817360001,30,0.8,0.125258915524474,30,0.45,0.0553283335172488,30,0.4,0.0857202378885726,30,0.85,0.28789347519738,30,0.85,0.0608192370211657,30,0.35,0.228160344620056
