"","TSS.Date","TSS.Flow","TSS.concentrations.TSS","lnC","lnQ"
"40",2010-03-30,276,4.5,1.50407739677627,5.62040086571715
"41",2010-04-07,215,5.5,1.70474809223843,5.37063802812766
"42",2010-04-13,168,3.4,1.22377543162212,5.12396397940326
"43",2010-04-20,137,2.35,0.854415328156068,4.91998092582813
"44",2010-04-24,361,35.2,3.56104608260405,5.88887795833288
"45",2010-04-27,156,3.4,1.22377543162212,5.04985600724954
"46",2010-05-04,120,3.6,1.28093384546206,4.78749174278205
"47",2010-05-11,153,6.5,1.87180217690159,5.03043792139244
"48",2010-05-14,1020,659,6.49072353450251,6.92755790627832
"49",2010-05-18,274,10.7,2.37024374146786,5.61312810638807
"50",2010-05-26,308,9.4,2.24070968927596,5.73009978297357
"51",2010-06-01,178,5.1,1.62924053973028,5.18178355029209
"52",2010-06-08,153,6.3,1.84054963339749,5.03043792139244
"53",2010-06-15,153,7,1.94591014905531,5.03043792139244
"54",2010-06-23,139,5.9,1.77495235091167,4.93447393313069
"55",2010-08-04,43,4.3,1.45861502269952,3.76120011569356
"56",2010-08-09,37,4.5,1.50407739677627,3.61091791264422
"57",2010-08-18,34,3.5,1.25276296849537,3.52636052461616
"58",2010-08-25,59,3.7,1.30833281965018,4.07753744390572
"59",2010-09-02,164,16.7,2.81540871942271,5.0998664278242
"60",2010-09-08,70,4.9,1.58923520511658,4.24849524204936
"61",2010-09-15,172,7,1.94591014905531,5.14749447681345
"62",2010-09-23,74,2.5,0.916290731874155,4.30406509320417
"63",2010-09-30,73,2.3,0.832909122935104,4.29045944114839
"64",2010-10-07,62,1.45,0.371563556432483,4.12713438504509
"65",2010-10-13,62,2,0.693147180559945,4.12713438504509
"66",2010-10-21,72,1.4,0.336472236621213,4.27666611901606
"67",2010-10-28,100,0.9,-0.105360515657826,4.60517018598809
"68",2010-11-03,91,1.6,0.470003629245736,4.51085950651685
"69",2010-11-11,102,1.7,0.53062825106217,4.62497281328427
